UGC12889            0.  0.  12.88  0.50   1.27  0.09   0.20  0.12
IC5370              0.  0.  14.82  0.60   0.97  0.12   0.06  0.12
CGCG456-013        94. 15.  15.98  0.52   0.73  0.15   0.38  0.12
CGCG499-029         0.  0.  14.51  0.43   0.97  0.09   0.06  0.08
PGC0000021          0.  0.  16.91  0.47   0.65  0.17   0.28  0.12
M-01-01-20          0.  0.  13.75  0.59   1.31  0.09   0.21  0.12
IC5371             98. 13.  15.88  0.37   0.83  0.10   0.32  0.08
PGC0000028          0.  0.  16.32  0.49   0.64  0.17   0.05  0.12
NGC7807             0.  0.  15.17  0.58   0.81  0.14   0.01  0.12
IC5373              0.  0.  15.27  0.58   0.87  0.13   0.18  0.12
UGC12896            0.  0.  14.51  0.61   0.98  0.12   0.00  0.12
PGC0000049          0.  0.  15.97  0.52   0.71  0.16   0.04  0.12
UGC12897            0.  0.  15.13  0.58   0.93  0.13   0.21  0.12
M+05-01-21          0.  0.  15.12  0.58   0.85  0.14   0.06  0.12
UGC12899            0.  0.  14.57  0.60   0.96  0.12   0.00  0.12
E538-17             0.  0.  15.29  0.57   0.80  0.14   0.06  0.12
PGC0000074         86. 15.  16.21  0.50   0.73  0.15   0.41  0.12
UGC12901            0.  0.  14.46  0.61   1.07  0.11   0.16  0.12
M+02-01-08          0.  0.  18.11  0.62   0.42  0.21   0.20  0.12
PGC0000083          0.  0.  17.58  0.51   0.53  0.19   0.12  0.12
M+02-01-09          0.  0.  15.48  0.40   0.85  0.10   0.15  0.08
UGC12904           44. 14.  14.16  0.43   1.13  0.07   0.30  0.08
M+02-01-10         36. 12.  16.57  0.48   1.01  0.12   0.53  0.12
NGC7803             0.  0.  14.50  0.43   0.96  0.09   0.19  0.08
IC5376              4.  6.  14.38  0.43   1.31  0.06   0.72  0.08
PGC0000107          0.  0.  17.30  0.48   0.38  0.21   0.24  0.12
NGC7806             0.  0.  14.10  0.60   1.23  0.10   0.28  0.12
UGC12912            0.  0.  14.81  0.60   0.96  0.12   0.16  0.12
IC1526              0.  0.  14.70  0.60   0.87  0.13   0.01  0.12
CGCG498-066         0.  0.  15.94  0.37   0.62  0.12   0.12  0.08
CGCG477-039         0.  0.  16.01  0.52   0.70  0.16   0.13  0.12
PGC0000134          0.  0.  15.89  0.37   0.71  0.11   0.10  0.08
E409-03             0.  0.  14.37  0.61   1.17  0.10   0.14  0.12
E409-04            54. 15.  14.66  0.60   0.98  0.12   0.41  0.12
NGC7810             0.  0.  14.48  0.61   1.09  0.11   0.21  0.12
CGCG382-020         0.  0.  15.04  0.59   0.88  0.13   0.08  0.12
PGC0000210          0.  0.  17.27  0.48   0.38  0.21   0.00  0.12
UGC11               0.  0.  15.15  0.58   0.90  0.13   0.08  0.12
PGC0000234          0.  0.  17.32  0.48   0.38  0.21   0.00  0.12
CGCG456-025         0.  0.  16.35  0.49   0.53  0.19   0.16  0.12
PGC0000241         94. 15.  16.37  0.49   0.73  0.15   0.38  0.12
NGC7808             0.  0.  13.81  0.59   1.09  0.11   0.00  0.12
CGCG456-026        91. 14.  16.34  0.49   0.71  0.16   0.44  0.12
UGC14              24. 14.  13.56  0.57   1.29  0.09   0.44  0.12
