# NED-1D, V2.0
# 3,716 distances to 1,210 galaxies with v &lt; 1/8 c, published in 524 
# papers since Jan. 1, 1990, with the exception of 4 papers from 1988-89; 
# updated to July 1, 2006
#
# Compiled from the literature by Barry F. Madore (Pasadena) and 
# Ian P. Steer (Toronto)
# Galaxy_Name                  m-M     err     D         Method     REFCODE              Notes                          RA          Dec          GLON    GLAT    Type_(RC3)   Vgsr_(RC3)      
# -                            (mag)   (mag)   (Mpc)     -          -                    -                              (J2000)     (J2000)      -       -       -            (km/s)          
# (1)                          (2)     (3)     (4)       (5)        (6)                  (7)                            (8)         (9)          (10)    (11)    (12)         (13)            
UGC12914                        33.570   0.200    51.800 Sosies     2002A&amp;A...393... -                              00:01:38.3  +23:29:01.1    108.4  -38.0 RS.R6*P             4545.0
WLM                             25.100   0.150     1.050 Cepheids   1991PASP..103..933M  I                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.920   0.210     0.964 Cepheids   2004ApJ...608...42S  LMC_VIHJK                      00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.750   0.100     0.891 TRGB       1997AJ....114..147M  I                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.770   0.090     0.899 TRGB       2004ApJ...608...42S  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.850   0.080     0.932 TRGB       2005MNRAS.356..979M  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             25.880  -9.000     1.500 Tully-Fish LEDA_[April_2006]    -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.880   0.090     0.946 CMD        2000ApJ...531..804D  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
WLM                             24.950   0.130     0.977 CMD        2000AJ....120..801R  -                              00:01:58.2  -15:27:39.3     75.9  -73.6 IBS9                   0.0
NGC7814                         30.440   0.140    12.200 SBF        2003ApJ...583..712J  I                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
NGC7814                         30.600   0.140    13.200 SBF        2001ApJ...546..681T  I                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
NGC7814                         31.260   0.130    17.900 Sosies     2002A&amp;A...393... -                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
NGC7814                         32.700  -9.000    34.700 Tully-Fish LEDA_[April_2006]    -                              00:03:14.9  +16:08:43.5    106.4  -45.2 SAS2*/              1204.0
ESO349-G031                     27.530  -9.000     3.210 TRGB       2006AJ....131.1361K  -                              00:08:13.4  -34:34:42.0    351.5  -78.1 IB.9                 195.0
ESO349-G031                     28.060  -9.000     4.100 Tully-Fish 2003A&amp;A...404... -                              00:08:13.4  -34:34:42.0    351.5  -78.1 IB.9                 195.0
2dFGRSS839Z607                  37.297   0.040   271.000 SNIa       2006ApJ...647..501P  SN_1992au:_z_=_0.06100:        00:10:38.1  -49:56:51.7    319.1  -65.9 E1                 17665.0
2dFGRSS839Z607                  37.300   0.220   272.000 SNIa       2004ApJ...607..665R  SN_1992au:_z_=_0.06100:        00:10:38.1  -49:56:51.7    319.1  -65.9 E1                 17665.0
2dFGRSS839Z607                  37.410   0.140   303.000 SNIa       2005ApJ...624..532R  SN_1992au                      00:10:38.1  -49:56:51.7    319.1  -65.9 E1                 17665.0
NGC0048                         33.920   0.200    60.800 Sosies     2002A&amp;A...393... -                              00:14:02.2  +48:14:05.5    116.5  -14.2 SX.4P*              1972.0
NGC0045                         30.130   0.350    10.600 Sosies     2002A&amp;A...393... -                              00:14:03.9  -23:10:55.5     55.9  -80.7 SAS8                 493.0
NGC0045                         29.510  -9.000     7.980 Tully-Fish LEDA_[April_2006]    -                              00:14:03.9  -23:10:55.5     55.9  -80.7 SAS8                 493.0
UGC00139                        33.450   0.050    48.400 SNIa       2006ApJ...647..501P  SN_1998dk:_z_=_0.01322         00:14:31.9  -00:44:15.2    102.9  -62.2 SXS5?               4052.0
UGC00139                        33.850   0.140    58.900 SNIa       2005ApJ...624..532R  SN_1998dk                      00:14:31.9  -00:44:15.2    102.9  -62.2 SXS5?               4052.0
NGC0055                         26.500  -9.000     2.000 TRGB       2005ApJ...622..279D  -                              00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0055                         26.630   0.030     2.120 TRGB       2005AJ....129.1331S  disk                           00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0055                         24.910  -9.000     0.960 Tully-Fish LEDA_[April_2006]    -                              00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0055                         26.280  -9.000     1.800 Tully-Fish 2003A&amp;A...404... -                              00:14:53.6  -39:11:47.9    332.9  -75.7 SBS9*/                94.0
NGC0059                         28.210   0.070     4.390 SBF        1998AJ....116.2873J  -                              00:15:25.1  -21:26:39.8     65.7  -80.0 LAT-*                412.0
