# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2003hh      UGC12890                     0.034     0.49     0.60    0.026     0.51     0.53    0.035     0.56     0.56
2006jb      UGC12897                     0.139     1.54     0.87    0.132     1.60     0.80    0.122     1.45     0.80
2007kj      NGC7803                      0.695     0.10     1.32    0.692     0.04     1.19    0.720    -0.15     1.23
2007iv      UGC12917                     0.664     0.28     2.25    0.751     0.17     1.97    0.787     0.39     2.51
2000da      UGC00005                     0.426     0.04     1.07    0.452     0.05     0.96    0.451     0.23     1.15
2003lq      UGC00005                     0.910     0.88     4.56    0.939   -99.00    -9.00    0.931     0.75     4.41
2006sr      UGC00014                     0.532    -0.48     2.35    0.571    -1.21     1.82    0.615    -1.86     1.79
2006du      IC1529                       0.906    -0.17     5.64    0.904    -0.35     4.35    0.905   -99.00    -9.00
2003it      UGC00040                     0.719    -0.90     2.08    0.631    -1.41     1.88    0.638    -1.64     2.06
1988ai      ESO293-034                   0.000     1.51     1.67    0.000     1.44     1.33    0.000     1.12     1.46
2009mk      ESO293-034                   0.906    -1.95     1.22    0.996    -2.91     1.20    0.983    -2.97     1.21
2002hw      UGC00052                     0.244     0.31     1.10    0.259     0.14     0.91    0.245     0.43     1.13
2007G       UGC00068                     0.094     0.81     1.00    0.106     0.88     0.93    0.114     0.83     0.99
2011jo      NGC0010                      0.303     0.06     1.19    0.329     0.22     1.15    0.334    -0.06     1.12
1997du      ESO241-022                   0.678    -1.96     0.77    0.614    -2.11     0.69    0.613    -2.28     0.74
1992au      A001040-4956                 0.441   -99.00    -9.00    0.322   -99.00    -9.00    0.397   -99.00    -9.00
2008dy      ESO241-023                   0.626    -0.05     2.33    0.733     0.41     2.46    0.702     0.44     3.07
2010ik      UGC00112                     0.744    -0.52     3.48    1.000    -2.78    13.47    0.962   -99.00    -9.00
2000cz      IC1535                       0.938    -0.08     2.47    0.904     0.41     2.65    0.926    -0.02     2.40
2012dk      ESO050-006                   0.460    -0.15     3.44    0.524    -0.15     3.51    0.411     0.31     3.89
