# SITEPH_SDSS SITE PHOTOMETRY - Sat Jan  3 16:51:45 2015
# SN           mj  mjerr    mj.5 mjerr    mj1  mjerr    mj2  mjerr    sbj     mh  mherr   mh.5  mherr    mh1  mherr    mh2  mherr    sbh     mk  mkerr   mk.5  mkerr    mk1  mkerr    mk2  mkerr    sbk  host                          snx     sny
2003hh      14.21   0.60  18.66   4.63  17.14   2.30  15.65   1.16  17.68  13.45   0.53  17.91   4.10  16.39   2.04  14.90   1.02  16.93  13.13   0.56  17.59   4.39  16.08   2.18  14.58   1.10  16.61  UGC12890                    583.1   581.5
2006jb      15.02   0.87  19.07   5.60  17.58   2.82  16.02   1.38  18.50  14.36   0.80  18.39   5.10  16.91   2.59  15.35   1.26  17.84  13.91   0.80  17.91   5.09  16.46   2.60  14.90   1.27  17.39  UGC12897                    497.2   491.8
2007kj      15.93   1.32  18.77   4.87  17.28   2.46  15.73   1.20  19.41  15.23   1.19  17.94   4.15  16.49   2.13  15.02   1.08  18.70  14.83   1.23  17.57   4.35  16.10   2.20  14.62   1.12  18.30  NGC7803                     240.5   225.0
2007iv      17.09   2.25 -99.00   0.01 -99.00   0.01 -99.00   0.01  20.57  16.32   1.97 -99.00   0.01 -99.00   0.01 -99.00   0.01  19.79  16.38   2.51 -99.00   0.01 -99.00   0.01 -99.00   0.01  19.86  UGC12917                    198.5   218.0
2000da      15.46   1.07  18.89   5.15  17.39   2.58  15.93   1.32  18.94  14.76   0.96  18.26   4.82  16.76   2.41  15.23   1.20  18.24  14.68   1.15  18.24   5.92  16.73   2.94  15.19   1.45  18.16  UGC00005                    259.5   280.6
2003lq      18.62   4.56  22.50  27.26  20.92  13.13  19.17   5.87  22.10 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  17.60   4.41  20.39  15.94  19.11   8.82  17.91   5.07  21.08  UGC00005                    297.0   276.9
2006sr      17.19   2.35  21.02  13.76  19.46   6.72  17.79   3.11  20.66  16.15   1.82  19.68   9.24  18.14   4.55  16.63   2.28  19.63  15.65   1.79  19.10   8.79  17.60   4.41  16.13   2.23  19.13  UGC00014                    388.6   373.3
2006du      19.08   5.64  22.21  23.83  20.84  12.69  19.41   6.57  22.56  18.04   4.34  20.73  14.99  19.33   7.87  18.22   4.73  21.51 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  IC1529                      322.8   354.0
2003it      16.91   2.08  20.44  10.54  18.95   5.30  17.49   2.70  20.39  16.22   1.88  19.86  10.06  18.34   5.00  16.81   2.47  19.70  15.95   2.06  19.90  12.69  18.28   6.03  16.59   2.76  19.43  UGC00040                    220.7   235.2
1988ai      16.44   1.67  16.32   1.58  14.70   0.75  13.36   0.40  19.92  15.45   1.32  15.34   1.25  14.07   0.70  12.64   0.36  18.93  15.20   1.46  15.07   1.38  13.72   0.74  12.47   0.41  18.68  ESO293-034                  659.8   723.4
2009mk      15.75   1.22  15.63   1.15  14.21   0.60  13.16   0.37  19.23  15.21   1.18  15.08   1.12  13.64   0.57  12.43   0.33  18.69  14.76   1.19  14.65   1.13  13.27   0.60  12.21   0.37  18.24  ESO293-034                  664.0   723.5
2002hw      15.54   1.10  18.38   4.08  16.84   2.01  15.28   0.98  19.02  14.63   0.91  17.40   3.25  15.89   1.62  14.39   0.81  18.11  14.64   1.13  17.50   4.21  15.96   2.07  14.38   1.00  18.12  UGC00052                    305.5   306.4
2007G       15.32   1.00  19.10   5.69  17.56   2.80  16.13   1.45  18.80  14.69   0.93  18.49   5.35  16.95   2.64  15.51   1.36  18.17  14.36   0.99  18.11   5.57  16.58   2.76  15.14   1.42  17.84  UGC00068                    229.4   222.3
2011jo      15.71   1.19  19.14   5.79  17.62   2.88  16.08   1.41  19.19  15.15   1.15  18.58   5.57  17.07   2.78  15.54   1.37  18.63  14.62   1.12  17.87   4.98  16.39   2.52  14.96   1.31  18.10  NGC0010                     281.2   294.8
