1885A     NGC224           10.68333333  41.26888889  10.67916667  41.26777778 Sb        3.0    77.    35.  -301.000   4.17   3.28   -15.0    -4.0   B  7.10 - I        Aug21       Hartwig(SAnd)
1895A     NGC4424         186.79583333   9.42111111 186.82041667   9.41805556 SBa       1.1    66.    95.   440.000  12.26   1.54    75.0   -11.0   - 12.50 * -        Mar16       *Wolf(VWVir)
1895B     NGC5253         204.98333333 -31.64000000 204.98875000 -31.63500000 Sd        8.0    90.    45.   403.000  10.76   1.68    16.0    23.0   B  8.26 - Ia       Jul6        Fleming(ZCen)
1901A     NGC2535         122.80416667  25.20666667 122.81291667  25.21138889 Sc        5.1    61.   153.  4097.000  13.29   1.38    19.0     7.0   - 14.70 * -        Jan10       *Reinmuth
1901B     NGC4321         185.72916667  15.82277778 185.69833333  15.82361111 SBbc      4.4    36.    30.  1587.000   9.99   1.88  -110.0     4.0   - 12.80 : I        Feb10:      Curtis
1907A     NGC4674         191.51250000  -8.65583333  -9.00000000 -99.00000000 SBa       1.0    82.    60.  1301.000  14.50   1.18   -10.0    11.0   - 13.50 : I        May10       Luyten
1909A     NGC5457         210.80416667  54.34916667 210.51291667  54.46611111 SBc       5.9     7.  -100.   240.000   8.20   2.45  -620.0   408.0   B 13.50 - IIP:     Mar14       Wolf(SSUma)
1912A     NGC2841         140.50833333  50.97694444  -9.00000000 -99.00000000 Sb        3.0    65.   147.   638.000   9.96   1.89   -50.0    20.0   - 13.00 * -        Feb19       *Pease,Curtis
1914A     NGC4321         185.72916667  15.82277778 185.73750000  15.79166667 SBbc      4.4    36.    30.  1587.000   9.99   1.88    24.0  -111.0   - 15.70 * -        Mar2        *Curtis
1915A     NGC4527         188.53750000   2.65361111  -9.00000000 -99.00000000 SBbc      3.8    71.    67.  1732.000  11.23   1.77    44.0    -8.0   - 15.50 * -        Mar20       *Curtis
1917A     NGC6946         308.71666667  60.15416667 308.69541667  60.12472222 SBc       5.9    29.  -100.    48.000   9.58   2.05   -37.0  -105.0   B 13.60 - II       Jul         Ritchey
1919A     NGC4486         187.70833333  12.39000000 187.70291667  12.41777778 E        -4.3  -100.   159.  1261.000   9.44   1.92   -15.0   100.0   - 12.30 - I        Feb26       Balanowsky
1920A     NGC2608         128.82083333  28.47416667  -9.00000000 -99.00000000 SBb       3.2    52.    60.  2132.000  13.00   1.35   -19.0     5.0   - 10.50 : I        Jan13:      Wolf
1921A     NGC4039         180.47500000 -18.88500000  -9.00000000 -99.00000000 SBm       9.0    70.   130.  1650.000  11.02   1.73    25.0   -13.0   - 16.00 * -        Mar7        *Hubble,Duncan
1921B     NGC3184         154.57083333  41.42444444  -9.00000000 -99.00000000 SBc       6.0    15.   135.   588.000  10.28   1.88    32.0  -160.0   - 13.50 - II       Apr:        Zwicky,Hubble
1921C     NGC3184         154.57083333  41.42444444  -9.00000000 -99.00000000 SBc       6.0    15.   135.   588.000  10.28   1.88    79.0  -236.0   - 10.90 : I        Dec11       Jones
1923A     NGC5236         204.25000000 -29.86777778 204.28833333 -29.85111111 SBc       5.1    21.  -100.   513.000   7.91   2.12   109.0    58.0   - 14.00 : IIP:     May10:      Lampland
1926A     NGC4303         185.47916667   4.47361111  -9.00000000 -99.00000000 SBbc      4.2    25.   162.  1574.000  10.08   1.82   -11.0    69.0   - 14.30 : IIL      May9        Wolf,Reinmuth
1926B     NGC6181         248.08750000  19.82500000  -9.00000000 -99.00000000 SBc       5.0    66.   175.  2373.000  12.37   1.40     0.0    48.0   - 14.80 * -        Jun17       *VanMaanen
1934A     IC4719          278.30000000 -56.73250000  -9.00000000 -99.00000000 Sd        8.1    51.   116.  3182.000  13.52   1.14     6.0   -13.0   - 13.60 : -        Oct11       Boyd
1935A     IC4652          261.61250000 -59.72833333 261.61666667 -59.72666667 Sb        3.2    65.    10.  4064.000  14.08   1.10 -9999.9 -9999.9   - 15.00 * -        Jun5        Boyd,Huruhata
1935B?    NGC3115         151.30833333  -7.71861111  -9.00000000 -99.00000000 E/S0     -2.8  -100.    43.   658.000   9.85   1.86   -36.0    60.0   -  0.00 - -        Apr         *Samaha
1935C     NGC1511          59.90000000 -67.63527778  -9.00000000 -99.00000000 Sa        1.3    78.   125.  1342.000  11.85   1.56    55.0    -8.0   - 12.50 : -        Sep19:      Boyce
1936A     NGC4273         184.98333333   5.34333333  -9.00000000 -99.00000000 SBc       5.0    52.    10.  2382.000  12.30   1.37     0.0    29.0   - 14.90 - IIP      Jan21       Hubble,Moore
1936B     M+02-04-29       20.28750000  15.69527778  -9.00000000 -99.00000000 SBc       5.0    45.  -100.  5117.000  15.47   0.89 -9999.9 -9999.9   - 14.00 * -        Sep24       *Zwicky
1937A     NGC4157         182.76666667  50.48472222  -9.00000000 -99.00000000 SBb       3.3    90.    66.   775.000  12.10   1.82    42.0    42.0   - 16.20 : IIP:     Feb16:      Zwicky
1937B     M-04-52-18      332.64166667 -22.65611111  -9.00000000 -99.00000000 SBbc      4.1    21.  -100.  9428.000  14.54   1.16    29.0   -31.0   - 15.30 * -        Aug26       *Zwicky
1937C     IC4182          196.45833333  37.60500000 196.47166667  37.60194444 Sm        8.9    27.  -100.   320.000  12.40   1.78    30.0    40.0   B  8.80 - Ia       Aug24       Zwicky
