# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2003hh      UGC12890                     0.041    -0.81     9.00    0.073    -0.10     9.00
2007kj      NGC7803                      1.000    -0.46     0.06    1.000    -0.05     0.03
2007iv      UGC12917                     1.000    -0.33     0.48    0.513    -0.38     0.13
2005ed      A000249+0045                 0.069     4.29     0.24    0.052     3.96     0.10
2006sr      UGC00014                     0.464     0.49     0.13    0.451     0.38     0.05
2006du      IC1529                       0.821     0.21     0.90    0.868    -0.87     0.29
2003it      UGC00040                     0.283    -0.09     0.20    0.323    -0.52     0.08
1988ai      ESO293-034                   0.000     1.31     0.20    0.000     1.62     0.10
2009mk      ESO293-034                   0.730    -1.41     0.09    0.765    -1.13     0.04
2002hw      UGC00052                     0.017    -0.82     0.97    0.062     0.11     0.29
2005ih      A000713+0020                 0.949    14.35    48.67    0.464     7.61     2.20
2005fi      A000758+0038                 0.335     5.71     0.69    0.826     8.62    17.92
2007G       UGC00068                     0.090    -0.95     0.05    0.091    -0.56     0.02
SDSS1686    A000859-0012                 0.278     5.83     0.50    0.274     9.55     0.93
2005hw      A000928+0109                 0.070    -1.43     1.40    0.006    -5.13     9.49
1997du      ESO241-022                   0.485     0.32     0.23    0.585     0.27     0.11
2008dy      ESO241-023                   0.276     1.24     0.68    0.312     1.88     0.42
2010ik      UGC00112                     0.192    -0.08     0.16    0.211    -0.09     0.08
2005ii      A001303-0037                 0.543     6.71     1.12    0.602     7.21     0.96
2005mm      A001309+0108                 1.000     1.50     0.57    0.136     0.44     9.00
2000cz      IC1535                       0.671    -3.51     9.01    0.908     1.01     0.58
2005hy      A001423+0019                 0.468     6.54     0.30    0.418     6.44     0.23
1998dk      UGC00139                     0.026     0.53     0.05    0.034     0.72     0.02
2010dq      NGC0057                      0.379    -2.29     9.00    0.441    -1.45     9.00
2011fp      NGC0057                      0.737    -4.88     9.03    0.895    -4.85     9.04
2005mg      UGC00155                     0.130     1.69     0.46    0.217     2.07     0.21
2005ji      A001718-0015                 1.000     3.23     0.67    0.346     3.60     9.03
2005jn      A001900-0016                 1.000     4.21     9.01    0.004    -5.26    10.37
2006J       IC0013                       0.080     0.05     0.37    0.089     0.37     0.18
1954F       PGC001347                    0.191     0.68     0.38    0.232     0.95     0.18
1994Z       NGC0087                      0.983    -2.22     0.11    0.977    -1.71     0.04
