# SITEPH_GALEX SITE PHOTOMETRY - Sun Jan  4 09:46:00 2015
# SN           mF  mFerr   mF.5  mFerr    mF1  mFerr    mF2  mFerr    sbF     mN  mNerr   mN.5  mNerr    mN1  mNerr    mN2  mNerr    sbN  host                           fexpt    nexpt     Fbackg   Nbackg     snx     sny
2003hh      21.07  -9.00  21.18  -9.00  21.18  -9.00  21.15  -9.00  24.54  21.66  -9.00  29.30   4.22  30.21   6.43  22.07  -9.00  25.14  UGC12890                       317.0    322.0   3.42e-04 3.20e-03   198.4   197.3
2007kj      22.01   0.06  24.85   0.22  23.34   0.11  21.80   0.05  25.49  21.85   0.03  24.74   0.12  23.17   0.06  21.64   0.03  25.33  NGC7803                       6354.9   6440.9   4.37e-04 3.55e-03   202.7   192.3
2007iv      23.26   0.40 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  26.74  22.92   0.11 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  26.40  UGC12917                       432.0   1274.1   9.05e-04 4.38e-03   191.6   204.6
2005ed      25.19   0.24 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  28.67  24.51   0.10 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  27.99  A000249+0045                  7214.0   7215.0   2.11e-04 3.01e-03   195.4   199.1
2006sr      22.53   0.13  25.44   0.49  24.09   0.26  22.94   0.15  26.01  21.86   0.05  25.41   0.25  23.94   0.13  22.35   0.06  25.33  UGC00014                      2213.0   2495.1   1.85e-05 4.63e-05   198.7   187.9
2006du      24.64   0.90  27.18   2.88  25.82   1.54  24.99   1.05  28.12  23.32   0.27  26.13   0.99  24.59   0.49  23.45   0.29  26.80  IC1529                         313.0    313.0   1.96e-04 2.63e-03   208.6   229.3
2003it      23.05   0.18  26.43   0.87  24.91   0.43  23.62   0.24  26.52  22.30   0.07  25.68   0.35  24.23   0.18  22.86   0.09  25.78  UGC00040                      1717.0   1717.0   2.53e-05 4.80e-05   198.8   206.8
1988ai      20.78   0.11  20.67   0.10  19.26   0.05  17.78   0.03  24.26  20.68   0.05  20.56   0.05  19.08   0.03  17.69   0.01  24.16  ESO293-034                     624.1    729.2   2.75e-04 2.56e-03   187.9   230.2
2009mk      20.19   0.08  20.07   0.08  18.64   0.04  17.62   0.02  23.67  20.10   0.04  19.97   0.04  18.56   0.02  17.50   0.01  23.58  ESO293-034                     624.1    729.2   2.75e-04 2.56e-03   190.7   230.3
2002hw      23.04   0.72  28.49   8.81  24.75   1.57  22.86   0.66  26.52  22.04   0.25  24.54   0.80  23.04   0.40  21.88   0.23  25.52  UGC00052                       112.0    112.0   3.13e-04 3.14e-03   203.4   202.2
2005ih      24.88   0.22 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  28.36  25.63   0.17 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  29.11  A000713+0020                  6375.2   6375.2   3.26e-04 3.12e-03   193.2   199.0
2005fi      25.58   0.24 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  29.06  23.85  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  27.33  A000758+0038                 10008.3  10008.3   2.47e-04 3.17e-03   192.3   199.1
2007G       19.18   0.03  22.86   0.17  21.32   0.09  19.89   0.04  22.66  19.00   0.02  22.73   0.09  21.19   0.05  19.75   0.02  22.48  UGC00068                      1613.0   1613.0   4.76e-04 3.28e-03   202.3   197.5
SDSS1686    24.71   0.19  30.97   3.34  29.47   1.67  27.96   0.84  28.19  28.69   0.65  32.64   4.03  31.13   2.02  29.63   1.01  32.17  A000859-0012                  7649.5   7649.5   3.42e-04 3.22e-03   199.0   199.0
2005hw      26.69   0.39 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  30.17  23.90  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  27.38  A000928+0109                 10774.9  10774.9   1.90e-04 2.96e-03   194.3   199.3
1997du      20.83   0.22  24.28   1.10  22.65   0.52  20.94   0.24  24.31  20.39   0.10  23.52   0.43  21.92   0.21  20.49   0.11  23.87  ESO241-022                     149.0    149.0   2.51e-04 2.80e-03   198.5   199.2
2008dy      24.17   0.67  21.34  -9.00  29.88   9.26  26.41   1.87  27.65  24.40   0.41  28.81   3.17  27.25   1.54  25.71   0.76  27.87  ESO241-023                     365.0    365.0   1.98e-04 2.14e-03   193.4   210.7
2010ik      22.81   0.15  25.61   0.56  24.18   0.29  22.41   0.13  26.29  22.50   0.07  25.09   0.24  23.63   0.12  22.19   0.06  25.98  UGC00112                      1957.0   2037.0   3.37e-05 6.66e-05   208.8   207.2
2005ii      24.37   0.21  32.51   8.91  31.01   4.45  29.50   2.23  27.84  23.64   0.08  31.41   3.00  29.99   1.56  28.56   0.81  27.12  A001303-0037                  4464.4   4464.4   1.96e-04 2.79e-03   191.9   198.5
2005mm      26.65   0.46 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  30.12  23.68  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  27.16  A001309+0108                  7416.2   7416.2   2.19e-04 3.12e-03   193.6   199.5
2000cz      20.33  -9.00  20.41  -9.00  20.39  -9.00  20.31  -9.00  23.80  24.10   0.55  27.42   2.54  26.59   1.73  23.51   0.42  27.58  IC1535                         157.1    157.1   1.14e-03 5.08e-03   193.0   189.5
2005hy      23.27   0.16 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  26.74  23.20   0.08 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  26.68  A001423+0019                  2902.4   2902.4   2.05e-04 3.20e-03   193.3   198.8
1998dk      21.49   0.04  23.80   0.12  22.22   0.06  20.69   0.03  24.97  21.14   0.02  23.36   0.06  21.84   0.03  20.33   0.01  24.62  UGC00139                      7691.4   7691.4   1.57e-05 4.37e-05   195.9   202.1
2010dq      21.28  -9.00  21.43  -9.00  21.39  -9.00  21.26  -9.00  24.76  21.82  -9.00  22.49  -9.00  22.22  -9.00  21.76  -9.00  25.30  NGC0057                        404.0    404.0   5.77e-04 3.69e-03   210.0   198.2
2011fp      21.28  -9.00  21.43  -9.00  21.39  -9.00  21.26  -9.00  24.76  21.82  -9.00  22.49  -9.00  22.22  -9.00  21.76  -9.00  25.30  NGC0057                        404.0    404.0   5.77e-04 3.69e-03   249.0   178.8
2005mg      23.71   0.43  26.09   1.29  24.37   0.59  22.71   0.27  27.19  23.27   0.20  25.51   0.55  23.95   0.27  22.36   0.13  26.75  UGC00155                       571.1    571.1   3.05e-04 2.68e-03   198.7   189.7
2005ji      26.34   0.41  33.20   9.68  31.69   4.84  30.25   2.50  29.82  23.66  -9.00  34.64  10.53  33.13   5.26  31.89   2.97  27.14  A001718-0015                  7082.2   7082.2   1.87e-04 2.77e-03   195.9   198.7
2005jn     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  32.68 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  27.75  A001900-0016                  7235.4   7235.4   1.75e-04 2.86e-03   190.9   198.6
2006J       21.05   0.29  24.31   1.31  22.61   0.59  21.01   0.28  24.53  20.81   0.15  24.26   0.71  22.35   0.30  20.76   0.14  24.29  IC0013                         109.0    109.0   3.45e-04 3.26e-03   199.0   209.7
1954F       22.75   0.32  21.53  -9.00  28.03   3.61  24.67   0.77  26.23  22.46   0.16  26.27   0.90  24.86   0.47  23.66   0.27  25.94  PGC001347                      438.0    438.0   3.49e-04 2.89e-03   201.8   203.8
1994Z       22.68   0.10  24.78   0.26  23.13   0.12  21.56   0.06  26.16  22.55   0.04  24.48   0.09  22.97   0.05  21.36   0.02  26.03  NGC0087                       4352.3   7711.6   2.80e-04 2.32e-03   183.6   194.4
2005is      24.11   0.14  31.31   3.84  29.81   1.92  28.30   0.96  27.59  24.12   0.08  31.21   2.05  29.73   1.04  28.24   0.52  27.60  A002144-0019                  7933.4   7933.4   2.02e-04 2.90e-03   189.5   198.8
2009li      20.01  -9.00  20.06  -9.00  20.05  -9.00  20.05  -9.00  23.49  20.85  -9.00  21.23  -9.00  21.21  -9.00  21.11  -9.00  24.32  IC1549                         112.0    112.0   2.52e-04 3.05e-03   183.8   212.5
1997cw      21.74   0.23  25.11   1.10  23.23   0.46  21.09   0.17  25.22  21.19   0.10  23.99   0.37  22.18   0.16  20.74   0.08  24.67  NGC0105                        323.0    323.0   4.27e-04 3.08e-03   194.3   202.0
2007A       21.62   0.22  24.39   0.79  22.83   0.38  21.16   0.18  25.10  21.18   0.10  23.69   0.32  22.07   0.15  20.77   0.08  24.66  NGC0105                        323.0    323.0   4.27e-04 3.08e-03   200.2   206.2
2005ln      23.55   0.10  30.44   2.48  28.96   1.25  27.47   0.63  27.03  23.98   0.07  31.26   2.01  29.62   0.95  28.05   0.46  27.45  A002700-0035                  8584.7   8584.7   1.57e-04 2.81e-03   197.8   198.5
2005fp      25.07   0.23 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  28.55  27.84   0.46 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  31.32  A002713+0107                  7209.5   7209.5   1.69e-04 2.76e-03   192.2   198.9
2005hk      22.29   0.08  24.62   0.22  22.94   0.10  21.23   0.05  25.77  22.12   0.04  24.27   0.11  22.73   0.05  21.10   0.02  25.60  UGC00272                      4952.6   4952.6   2.15e-04 2.81e-03   187.6   203.0
2004dd      21.01   0.04  23.21   0.11  21.68   0.05  20.15   0.03  24.49  20.25   0.02  22.36   0.04  20.89   0.02  19.43   0.01  23.73  NGC0124                       5730.0   5730.0   2.12e-04 2.80e-03   192.6   192.4
2000fd      21.66   0.34  25.24   1.79  22.76   0.57  21.43   0.31  25.14  21.97   0.22  24.25   0.64  22.86   0.33  21.67   0.19  25.45  UGC00291                       136.0    136.0   7.25e-04 4.04e-03   203.8   209.1
2014da      22.77   0.11  25.23   0.35  23.60   0.17  22.06   0.08  26.24  21.89   0.04  24.21   0.12  22.68   0.06  21.15   0.03  25.36  NGC0128                       3494.2   3494.2   2.41e-04 3.13e-03   251.5   256.7
2008ds      19.88  -9.00  19.92  -9.00  19.91  -9.00  19.88  -9.00  23.36  24.65   0.90  28.53   5.34  27.35   3.10  25.23   1.17  28.13  UGC00299                        99.2     99.2   5.09e-04 3.44e-03   221.0   197.4
2004fe      20.38   0.05  22.90   0.16  21.49   0.08  20.22   0.05  23.86  20.20   0.03  23.02   0.10  21.51   0.05  20.01   0.02  23.67  NGC0132                       1906.3   1906.3   2.06e-04 2.71e-03   191.4   188.8
1997dm      24.71  -9.00  25.97  -9.00  25.62  -9.00  25.10  -9.00  28.18  24.55  -9.00  26.32  -9.00  25.70  -9.00  25.01  -9.00  28.02  ESO294-017                   32320.4  32425.4   2.05e-04 2.22e-03   194.6   195.9
2009gj      24.91   0.27  24.86   0.26  23.32   0.13  22.31   0.08  28.39  23.46  -9.00  23.43  -9.00  22.73  -9.00  22.00  -9.00  26.93  NGC0134                       4452.8   4906.2   2.04e-04 2.25e-03   608.4   733.0
2005kp     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  28.40 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  28.27  A003053-0043                 10945.0  10945.0   1.78e-04 2.91e-03   197.6   198.2
