# LGA_SNAN run on Thu Aug  7 15:23:29 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1885A       10.72   0.01   4.54   0.00   3.69   0.00   3.02   0.00  14.20  0.034  -1.28   0.17   9.79   0.01   3.62   0.00   2.78   0.00   2.13   0.00  13.27  0.039  -1.28   0.18   9.54   0.01   3.38   0.00   2.53   0.00   1.87   0.00  13.02  0.037  -1.28   0.18  NGC224            2565.4   2546.0
1895B       15.39   0.09  12.02   0.02  10.52   0.01   9.49   0.01  18.87  0.331  -0.52   0.37  14.90   0.08  11.46   0.02   9.97   0.01   8.92   0.01  18.38  0.327  -0.47   0.37  14.54   0.09  11.28   0.02   9.72   0.01   8.68   0.01  18.02  0.326  -0.60   0.40  NGC5253            383.3    419.0
1901B       16.51   0.14  16.52   0.14  14.97   0.07  13.29   0.03  19.99  0.641  -0.51   0.38  15.73   0.11  15.74   0.11  14.22   0.06  12.65   0.03  19.21  0.629  -0.72   0.53  15.63   0.14  15.64   0.14  14.08   0.07  12.41   0.03  19.11  0.668  -0.54   0.60  NGC4321            905.7    804.8
1909A       19.68   0.59  18.14   0.29 -99.00  -9.00 -99.00  -9.00  23.16  1.000 -99.00  -9.00  19.27   0.56  16.62   0.16  15.22   0.09  15.45   0.10  22.75  1.000 -99.00  -9.00 -99.00  -9.00  16.83   0.24  15.56   0.14  14.97   0.10 -99.00  1.000 -99.00  -9.00  NGC5457           1805.3   1624.4
1917A       15.52   0.10  13.35   0.04  11.80   0.02   9.15   0.01  19.00  0.399  -0.41   0.33  15.17   0.09  12.99   0.03  11.47   0.02   8.77   0.00  18.65  0.385  -0.43   0.33  14.78   0.10  12.53   0.03  10.97   0.02   8.18   0.00  18.26  0.416  -0.26   0.36  NGC6946            741.5    495.3
1919A       15.79   0.10  15.49   0.09  14.02   0.04  12.66   0.02  19.27  0.803  -0.57   0.30  15.37   0.09  15.07   0.08  13.57   0.04  12.04   0.02  18.85  0.837  -0.39   0.39  15.07   0.11  14.76   0.09  13.21   0.05  11.82   0.02  18.55  0.828  -0.41   0.42  NGC4486            611.1    696.5
1921B       18.49   0.36  17.49   0.22  16.11   0.12  14.46   0.06  21.97  0.863  -0.17   1.93  17.66   0.28  16.54   0.16  14.95   0.08  13.73   0.04  21.14  0.833  -0.24   2.31  17.31   0.31  16.36   0.20  15.10   0.11  13.44   0.05  20.79  0.875  -0.71   3.41  NGC3184            567.5    440.7
1921C       19.87   0.67  19.61   0.60  18.04   0.29  16.03   0.11  23.34  0.975  -4.62 364.67 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  0.952 -99.00  -9.00  18.89   0.64  17.77   0.38  16.20   0.19 -99.00  -9.00  22.37  0.966  -2.07  76.47  NGC3184            520.5    364.7
1923A       14.91   0.07  11.97   0.02  10.49   0.01   9.02   0.00  18.39  0.425  -0.51   0.28  14.38   0.07  11.36   0.02   9.85   0.01   8.38   0.00  17.86  0.430  -0.41   0.29  13.97   0.07  11.04   0.02   9.58   0.01   8.13   0.00  17.44  0.444  -0.55   0.33  NGC5236            791.0   1255.1
1926A       16.91   0.19  17.69   0.27  16.11   0.13  14.45   0.06  20.39  0.649   0.62   0.59  15.96   0.14  16.71   0.20  15.20   0.10  13.69   0.05  19.44  0.658   0.23   0.62  15.73   0.16  16.48   0.23  14.97   0.11  13.41   0.06  19.21  0.667   0.32   0.71  NGC4303            409.5    473.0
1937A       16.55   0.14  15.81   0.10  14.21   0.05  12.41   0.02  20.03  0.531  -0.19   0.39  15.51   0.10  14.79   0.07  13.26   0.03  11.45   0.02  18.98  0.485  -0.36   0.39  15.60   0.14  14.83   0.10  13.13   0.04  11.18   0.02  19.08  0.564   0.08   0.44  NGC4157            353.7    443.5
1937D       16.22   0.13  13.84   0.04  12.45   0.02  10.91   0.01  19.70  0.527  -1.53   0.41  15.77   0.11  13.41   0.04  11.90   0.02  10.44   0.01  19.25  0.516  -1.47   0.48  15.37   0.13  13.03   0.04  11.67   0.02  10.24   0.01  18.85  0.523  -1.58   0.68  NGC1003            350.8    399.3
1937E       18.31   0.36  18.86   0.46  17.66   0.26  16.93   0.19  21.79  1.000 -99.00  -9.00  18.74   0.51  19.62   0.77  17.53   0.29  16.02   0.15  22.22  1.000 -99.00  -9.00  18.47   0.58  18.99   0.73  17.83   0.43  16.17   0.20  21.95  1.000 -99.00  -9.00  NGC1482            428.6    451.5
1937F       17.70   0.25  16.69   0.16  15.29   0.08  13.88   0.04  21.18  0.825  -0.68   1.55  18.27   0.37  17.03   0.21  15.02   0.08  13.39   0.04  21.75  0.795   0.60   1.95  17.29   0.31  16.17   0.18  14.34   0.08  12.90   0.04  20.77  0.836  -0.19   2.29  NGC3184            594.5    451.7
1939A       14.76   0.07  14.37   0.06  12.84   0.03  11.32   0.01  18.24  0.336  -0.13   0.10  14.08   0.06  13.69   0.05  12.17   0.02  10.65   0.01  17.56  0.332  -0.12   0.12  13.90   0.07  13.51   0.06  12.00   0.03  10.45   0.01  17.38  0.353  -0.08   0.14  NGC4636            627.6    619.7
1939B       15.43   0.09  15.10   0.08  13.55   0.04  12.03   0.02  18.91  0.656  -0.55   0.19  14.73   0.08  14.41   0.07  12.89   0.03  11.35   0.02  18.21  0.666  -0.55   0.22  14.47   0.09  14.15   0.08  12.66   0.04  11.16   0.02  17.95  0.673  -0.63   0.30  NGC4621            402.1    351.5
1939C       16.98   0.19  14.68   0.07  12.39   0.02  11.31   0.01  20.46  0.765  -0.12   0.63  16.38   0.15  14.20   0.06  12.19   0.02  10.97   0.01  19.86  0.734  -0.34   0.66  16.27   0.19  13.97   0.07  11.75   0.02  10.53   0.01  19.75  0.770   0.07   0.80  NGC6946            919.9    623.8
1940A       20.16   0.75  18.71   0.38  17.68   0.24  16.03   0.11  23.64  0.992  -1.57   4.02  18.56   0.40  17.61   0.26  16.30   0.14  14.65   0.07  22.04  0.994  -2.71   5.17 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  14.65   0.09 -99.00  0.995 -99.00  -9.00  NGC5907            662.3    491.2
1940B       16.59   0.14  15.82   0.10  14.40   0.05  12.89   0.03  20.07  0.783  -0.91   0.55  15.73   0.13  14.97   0.09  13.61   0.05  12.11   0.02  19.21  0.735  -0.84   0.57  15.78   0.15  14.97   0.10  13.48   0.05  11.99   0.03  19.26  0.763  -0.73   0.69  NGC4725            405.0    715.9
1940E       13.05   0.03   9.48   0.01   8.14   0.00   6.73   0.00  16.53  0.750  -4.13   0.30  12.28   0.02   8.68   0.00   7.32   0.00   5.88   0.00  15.76  0.777  -4.27   0.33  11.97   0.03   8.35   0.01   6.96   0.00   5.47   0.00  15.45  0.790  -4.31   0.37  NGC253            1450.5   1181.5
1941A       15.38   0.08  14.94   0.07  13.51   0.03  12.11   0.02  18.86  0.405  -1.68   0.33  14.72   0.08  14.28   0.07  12.86   0.03  11.50   0.02  18.20  0.430  -1.70   0.36  14.43   0.08  13.99   0.07  12.58   0.03  11.24   0.02  17.91  0.416  -1.78   0.41  NGC4559            730.9    726.0
1945A       12.07   0.02  10.33   0.01   9.02   0.00   8.38   0.00  15.55  0.206  -0.79   0.12  11.33   0.01   9.59   0.01   8.27   0.00   7.65   0.00  14.81  0.205  -0.80   0.12  11.08   0.02   9.31   0.01   7.96   0.00   7.35   0.00  14.55  0.229  -0.77   0.14  NGC5195            469.9   1010.4
1948B       15.90   0.11  13.78   0.04  12.42   0.02  11.14   0.01  19.37  0.800  -1.35   0.70  15.75   0.11  13.64   0.04  12.26   0.02  10.99   0.01  19.23  0.770  -1.11   0.73  15.05   0.11  12.93   0.04  11.62   0.02  10.35   0.01  18.53  0.806  -1.32   0.90  NGC6946            483.3    663.1
1951H       18.52   0.35  16.43   0.13  14.69   0.06  12.85   0.03  22.00  0.907  -0.45   2.45  17.08   0.20  15.11   0.08  13.81   0.04  12.33   0.02  20.56  0.922  -1.12   2.92  17.23   0.29  14.95   0.10  13.43   0.05  11.89   0.03  20.71  0.894  -0.67   3.45  NGC5457            826.3   1246.6
1954A       19.44   0.51  15.55   0.08  15.63   0.09  14.52   0.05  22.92  1.000 -99.00  -9.00  19.00   0.58  16.50   0.18 -99.00  -9.00 -99.00  -9.00  22.47  1.000 -99.00  -9.00 -99.00  -9.00  15.84   0.15 -99.00  -9.00  16.84   0.24 -99.00  1.000 -99.00  -9.00  NGC4214            314.0    185.6
1956A       16.15   0.11  16.46   0.13  14.97   0.07  13.50   0.03  19.63  0.503  -0.53   0.26  15.56   0.10  15.88   0.12  14.38   0.06  12.88   0.03  19.04  0.519  -0.45   0.31  15.47   0.13  15.79   0.15  14.26   0.07  12.73   0.04  18.95  0.514  -0.31   0.35  NGC3992            435.1    490.6
1957A       17.17   0.19  16.53   0.14  14.98   0.07  13.39   0.03  20.65  0.954  -1.50   0.91  16.00   0.12  15.37   0.09  13.97   0.05  12.53   0.03  19.48  0.955  -1.93   1.16  16.23   0.18  15.61   0.14  14.17   0.07  12.61   0.03  19.71  0.963  -1.61   1.58  NGC2841            708.4    677.1
1957B       15.30   0.08  15.24   0.08  13.72   0.04  12.16   0.02  18.78  0.603   0.06   0.14  14.62   0.08  14.56   0.07  13.04   0.04  11.49   0.02  18.10  0.624   0.04   0.16  14.31   0.08  14.25   0.07  12.76   0.04  11.24   0.02  17.78  0.611  -0.01   0.20  NGC4374            404.8    446.7
1959B       17.63   0.23  20.72   0.95  19.21   0.48  17.72   0.24  21.10  0.797  -0.25   0.82  17.40   0.28  20.57   1.19  19.04   0.59  17.50   0.29  20.88  0.853  -0.06   1.25  17.25   0.29  20.39   1.24  18.88   0.62  17.35   0.31  20.73  0.824   0.26   1.26  NGC4921            381.1    354.0
1959D       14.84   0.06  14.36   0.05  12.85   0.03  11.24   0.01  18.31  0.431   0.20   0.28  14.00   0.05  13.53   0.04  12.01   0.02  10.38   0.01  17.48  0.435   0.14   0.26  13.61   0.05  13.13   0.04  11.63   0.02  10.01   0.01  17.09  0.443   0.06   0.27  NGC7331            629.3    612.2
