 1006A                  225.70000000 -41.95000000  -9999.9  -9999.9  Anon.                           -9.00000000 -99.00000000
 1054A                   83.62500000  22.01666667  -9999.9  -9999.9  Anon.                           -9.00000000 -99.00000000
 1572A                    6.32500000  64.15000000  -9999.9  -9999.9  Anon.                           -9.00000000 -99.00000000
 1604A                  262.65000000 -21.48333333  -9999.9  -9999.9  Anon.                           -9.00000000 -99.00000000
 1885A                   10.67916667  41.26777778    -15.0     -4.0  NGC0224                         10.68483333  41.26866667
 1895A                  186.82041667   9.41805556     75.0    -11.0  NGC4424                        186.79837500   9.42066667
 1895B                  204.98875000 -31.63500000     16.0     23.0  NGC5253                        204.98291667 -31.64022222
 1901A                  122.81291667  25.21138889     19.0      7.0  NGC2535                        122.80625000  25.20694444
 1901B                  185.69833333  15.82361111   -110.0      4.0  NGC4321                        185.72900000  15.82252778
 1907A                  191.51183333  -8.65241667    -10.0     11.0  NGC4674                        191.51462500  -8.65547222
 1909A                  210.51291667  54.46611111   -620.0    406.0  NGC5457                        210.80225000  54.34894444
 1912A                  140.48841667  50.98208333    -50.0     20.0  NGC2841                        140.51045833  50.97652778
 1914A                  185.73750000  15.79166667     24.0   -111.0  NGC4321                        185.72900000  15.82252778
 1915A                  188.54833333   2.65019444     44.0     -8.0  NGC4527                        188.53608333   2.65241667
 1917A                  308.69541667  60.12491667    -37.0   -105.0  NGC6946                        308.72020833  60.15377778
 1919A                  187.70291667  12.41777778    -15.0    100.0  NGC4486                        187.70508333  12.39138889
 1920A                  128.81562500  28.47536111    -19.0      5.0  NGC2608                        128.82162500  28.47397222
 1921A                  180.48537500 -18.88852778     35.0    -12.5  NGC4039                        180.47433333 -18.88505556
 1921B                  154.58262500  41.38002778     32.0   -160.0  NGC3184                        154.57075000  41.42447222
 1921C                  154.60004167  41.35891667     79.0   -236.0  NGC3184                        154.57075000  41.42447222
 1923A                  204.28833333 -29.85111111    109.0     58.0  NGC5236                        204.25337500 -29.86547222
 1926A                  185.47620833   4.49377778    -11.0     69.0  NGC4303                        185.47929167   4.47461111
 1926B                  248.08720833  19.84055556     -0.0     48.0  NGC6181                        248.08720833  19.82722222
 1934A                  278.30179167 -56.73488889      6.0    -13.0  IC4719                         278.29875000 -56.73127778
 1935A                  261.61666667 -59.72666667  -9999.9  -9999.9  IC4652                         261.61158333 -59.72780556
 1935C                   59.94429167 -67.63638889     55.0     -8.0  NGC1511                         59.90412500 -67.63416667
 1936A                  184.98295833   5.35225000     -0.0     29.0  NGC4273                        184.98295833   5.34419444
 1936B                   -9.00000000 -99.00000000  -9999.9  -9999.9  MCG+02-04-029                   20.28879167  15.69502778
 1937A                  182.78904167  50.49694444     42.0     42.0  NGC4157                        182.77066667  50.48527778
 1937B                  332.65066667 -22.66463889     29.0    -31.0  ESO532-025                     332.64166667 -22.65600000
 1937C                  196.47166667  37.60194444     30.0     40.0  IC4182                         196.45641667  37.60461111
 1937D                   39.83750000  40.87222222     48.0     -1.0  NGC1003                         39.81975000  40.87366667
 1937E                   58.65529167 -20.48830556    -24.0     51.0  NGC1482                         58.66241667 -20.50247222
 1937F                  154.57262500  41.38308333      5.0   -149.0  NGC3184                        154.57075000  41.42447222
 1938A                   39.41400000  34.42369444     -8.0    -28.0  UGC02105                        39.41670833  34.43147222
 1938B                  132.34012500  19.07058333     -4.0    -16.0  NGC2672                        132.34129167  19.07502778
 1938C                  199.03450000  25.16111111     31.0    -20.0  Anon.                          199.02500000  25.16666667
 1939A                  190.70079167   2.69338889    -26.0     20.0  NGC4636                        190.70804167   2.68783333
 1939B                  190.50954167  11.63305556     -0.0    -53.0  NGC4621                        190.50954167  11.64777778
 1939C                  308.59583333  60.16036111   -215.0     24.0  NGC6946                        308.72020833  60.15377778
 1939D                   14.39383333  -4.99944444     -9.0     11.0  MCG-01-03-041                   14.39637500  -5.00250000
 1940A                  229.04262500  56.24288889    137.0   -310.0  NGC5907                        228.97400000  56.32900000
 1940B                  192.64025000  25.53366667     95.0    118.0  NGC4725                        192.61104167  25.50088889
 1940C                   -9.00000000 -99.00000000  -9999.9  -9999.9  IC1099                         226.72775000  56.50908333
 1940D                  188.63712500  63.53075000     -9.0     20.0  NGC4545                        188.64270833  63.52519444
 1940E                   11.87262500 -25.29350000    -51.0    -17.0  NGC0253                         11.88829167 -25.28877778
 1941A                  188.98108333  27.96711111    -30.0     26.0  NGC4559                        188.99054167  27.95988889
 1941B                  157.33037500  29.48291667    -10.0    -34.0  NGC3254                        157.33358333  29.49236111
 1941C                  182.33800000  29.90905556     44.0    -67.0  NGC4136                        182.32387500  29.92766667
 1945A                  202.49595833  47.26508333     -6.0     -4.0  NGC5195                        202.49841667  47.26619444
 1945B                  204.22229167 -29.91408333    -97.0   -175.0  NGC5236                        204.25337500 -29.86547222
 1946A                   -9.00000000 -99.00000000  -9999.9  -9999.9  NGC3977                        179.02983333  55.39080556
 1946B                  190.63920833  -0.07986111     16.0      6.0  NGC4632                        190.63479167  -0.08152778
 1947A                  154.14754167  21.11188889     17.0    -40.0  NGC3177                        154.14250000  21.12300000
 1948A                  192.25933333  -8.65144444     -0.0     46.0  NGC4699                        192.25933333  -8.66422222
 1948B                  308.83958333  60.17127778    222.0     60.0  NGC6946                        308.72020833  60.15377778
 1950A                  195.22641667  28.01130556     -2.0     13.0  IC4051                         195.22708333  28.00769444
 1950B                  204.22033333 -29.86547222   -105.0     -0.0  NGC5236                        204.25337500 -29.86547222
 1950C                  198.44279167  36.57986111    225.0    -50.0  NGC5033                        198.36491667  36.59375000
 1950D                  130.77266667  18.16333333     -8.0    -12.0  Anon.                          130.77500000  18.16666667
 1950F                  211.19450000   8.80144444    -11.0      1.0  UGC08995                       211.19762500   8.80116667
 1950G                  146.02583333   9.35055556      3.0      2.0  Anon.                          146.02500000   9.35000000
 1950H                  226.86733333  19.59150000     11.0    -22.0  NGC5857                        226.86408333  19.59761111
 1950I                  227.08691667  19.19194444    -11.0     -1.0  MCG+03-39-008                  227.09016667  19.19222222
 1950J                  229.37354167  19.76750000     -5.0      3.0  Anon.                          229.37500000  19.76666667
 1950K                  230.44825000  17.43416667     -6.0      3.0  Anon.                          230.45000000  17.43333333
 1950L                  235.53979167  21.96352778     -7.0     -8.0  PGC094270                      235.54191667  21.96575000
 1950M                  158.32466667  64.75033333      2.0      3.0  NGC3266                        158.32333333  64.74950000
