# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2003hh      UGC12890                     0.015     1.35     6.14    0.041     0.49     1.59    0.044     0.61     1.05    0.044     0.63     0.84    0.047     0.66     0.73
2006jb      UGC12897                     0.150     2.44     8.69    0.173     1.92     2.82    0.191     1.70     1.66    0.183     1.56     1.25    0.187     1.49     1.04
2005ed      A000249+0045                 0.009     5.19     7.09    0.014     6.32     3.55    0.018     6.06     1.67    0.023     6.77     1.46    0.025     6.85     1.29
2000da      UGC00005                     0.363     0.26     5.01    0.352     0.04     2.46    0.386    -0.03     1.74    0.400    -0.13     1.40    0.419    -0.14     1.23
2003lq      UGC00005                     0.979     0.14    12.28    0.910   -99.00    -9.00    0.912     2.16    12.28    0.910     2.49    12.28    0.921     1.94     8.69
2006kv      A000306+0054                 0.552   -99.00    -9.00    0.250   -99.00    -9.00    0.181   -99.00    -9.00    0.263   -99.00    -9.00    1.000   -99.00    -9.00
2006sr      UGC00014                     0.563     1.49    12.28    0.480     1.39     7.09    0.493     0.90     4.34    0.485     0.70     3.41    0.504     0.37     2.68
2007nx      A000348+0021                 0.017   -99.00    -9.00    0.020   -99.00    -9.00    0.023     7.84     8.69    0.025     7.62     6.14    0.025     7.02     4.09
2003it      UGC00040                     0.546   -99.00    -9.00    0.584   -99.00    -9.00    0.638   -99.00    -9.00    0.646   -99.00    -9.00    0.676   -99.00    -9.00
2002hw      UGC00052                     0.131     1.97    12.28    0.175     0.90     3.70    0.207     0.49     2.08    0.224     0.34     1.57    0.235     0.27     1.33
2005ih      A000713+0020                 0.091   -99.00    -9.00    0.068   -99.00    -9.00    0.104   -99.00    -9.00    0.081   -99.00    -9.00    0.680   -99.00    -9.00
2005fi      A000758+0038                 0.027   -99.00    -9.00    0.105   -99.00    -9.00    0.401   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2007G       UGC00068                     0.096    -0.46     1.83    0.103    -0.02     1.33    0.116     0.32     1.17    0.122     0.52     1.09    0.137     0.65     1.03
SDSS1686    A000859-0012                 0.270   -99.00    -9.00    0.139   -99.00    -9.00    0.143   -99.00    -9.00    0.193   -99.00    -9.00    0.186    10.72    13.40
2005hw      A000928+0109                 0.420     7.07    97.85    0.125     6.32     6.19    0.332    10.72     5.05    0.294    10.72     4.67    0.412    12.50     4.77
2001fb      A001006-0026                 0.813     1.38     8.69    0.822    -0.33     2.56    0.808    -0.78     1.77    0.770    -0.79     1.60    0.836    -0.77     1.56
2007sj      A001039-0003                 0.002     3.38     4.34    0.003     4.16     2.24    0.005     4.58     1.54    0.006     4.75     1.29    0.007     4.90     1.15
2007ju      A001150-0020                 0.052     6.47     8.69    0.082     8.04     7.09    0.104     8.58     6.14    0.114     8.69     5.50    0.129     8.51     4.68
1988aa      PGC000861                    1.000    -3.57    12.36    1.000    -4.92     5.02    1.000    -5.64     2.63    1.000    -5.55     1.84    1.000    -6.08     1.72
2005ii      A001303-0037                 1.000     2.55    12.31    0.651    15.50     8.97    0.713    17.35     8.99    0.913    23.03    13.97    0.785    19.01    13.50
2005mm      A001309+0108                 0.060   -99.00    -9.00    0.747   -99.00    -9.00    0.457   -99.00    -9.00    0.490   -99.00    -9.00    0.494    14.19     7.84
1954V       A001312-0735                 1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2005hy      A001423+0019                 0.457    13.32     8.22    0.359    12.03     7.10    0.307    11.78     7.10    0.308    12.17     7.11    0.262    11.15     7.30
1998dk      UGC00139                     0.089   -99.00    -9.00    0.120   -99.00    -9.00    0.158   -99.00    -9.00    0.177   -99.00    -9.00    0.198   -99.00    -9.00
2003ld      UGC00148                     0.098     0.24     3.28    0.110     0.15     1.85    0.127     0.01     1.27    0.138     0.15     1.16    0.149     0.19     1.03
2007gt      A001626-0021                 0.003     4.07     8.69    0.004     5.81     8.69    0.006     6.85     8.69    0.007     7.43     8.69    0.009     7.41     7.09
2005mg      UGC00155                     0.418     0.58     5.01    0.522    -0.31     1.69    0.581    -0.14     1.27    0.594    -0.13     1.05    0.639    -0.13     0.89
2007lf      A001645+0112                 0.033   -99.00    -9.00    0.030   -99.00    -9.00    0.041   -99.00    -9.00    0.042   -99.00    -9.00    0.041    14.16    12.28
2005ji      A001718-0015                 0.012     1.30     8.69    0.924    22.17    68.44    1.000     3.69     9.32    0.678    16.76    14.58    0.825    20.47    89.11
2005jn      A001900-0016                 0.862   -99.00    -9.00    0.408   -99.00    -9.00    0.136   -99.00    -9.00    0.755   -99.00    -9.00    0.000   -99.00    -9.00
1995ah      A001911+1506                 0.275     1.14     4.09    0.296     0.91     2.41    0.287     1.00     2.21    0.270     1.02     2.11    0.278     1.06     2.02
2002jl      A002013-0008                 0.000   -99.00    -9.00    0.028   -99.00    -9.00    0.000   -99.00    -9.00    0.002   -99.00    -9.00    0.000   -99.00    -9.00
2006J       IC0013                       0.157     0.68     4.64    0.188     0.40     2.36    0.206     0.17     1.63    0.215     0.23     1.44    0.227     0.24     1.29
2005is      A002144-0019                 0.224    10.43     8.76    0.305    11.70     5.50    0.350    12.29     3.41    0.389    12.64     2.51    0.384    12.50     2.16
1990ae      A002251+0649                 0.001     4.14     8.69    0.001     6.40     8.69    0.001     7.14     7.09    0.002     7.67     7.09    0.002     8.51     8.69
2007oe      A002410+0046                 1.000   -99.00    -9.00    1.000     1.37    12.33    1.000     0.77    12.29    0.044     4.37    12.52    0.059    -3.95    18.31
2005ln      A002700-0035                 0.009     2.23     6.14    0.042     6.12     7.09    0.046     6.59     6.14    0.057     7.53     7.09    0.052     7.54     7.10
2005fp      A002713+0107                 1.000     3.72    18.78    0.150     9.41    12.29    0.231    11.56    12.29    0.282    11.74     8.71    0.202    11.26     8.81
2002je      A002722+2410                 0.422     0.87     4.34    0.417     1.05     3.07    0.438     1.12     2.68    0.439     1.11     2.46    0.434     1.02     2.24
2007qx      A002741+0113                 0.002     2.68     6.14    0.004     3.93     4.09    0.006     4.73     3.41    0.007     4.56     2.56    0.009     4.71     2.21
2005hk      UGC00272                     0.872    -0.13    12.28    0.866     0.00     8.69    0.876     1.07    12.28    0.886     0.46     8.69    0.913    -0.07     7.09
