# SITEPH_SDSS SITE PHOTOMETRY - Sat Jan  3 17:06:29 2015
# SN           mu  muerr    mu.5 muerr    mu1  muerr    mu2  muerr    sbu     mg  mgerr   mg.5  mgerr    mg1  mgerr    mg2  mgerr    sbg     mr  mrerr   mr.5  mrerr    mr1  mrerr    mr2  mrerr    sbr     mi  mierr   mi.5  mierr    mi1  mierr    mi2  mierr    sbi     mz  mzerr   mz.5  mzerr    mz1  mzerr    mz2  mzerr    sbz  host                          snx     sny
2003hh      20.16   6.14  23.58  29.63  22.18  15.54  20.48   7.09  23.64  17.22   1.59  21.76  12.79  20.25   6.40  18.73   3.17  20.70  16.33   1.05  20.83   8.34  19.32   4.17  17.82   2.08  19.80  15.85   0.84  20.35   6.70  18.85   3.35  17.35   1.68  19.33  15.55   0.73  20.04   5.80  18.55   2.93  17.04   1.46  19.03  UGC12890                   1166.7  1163.5
2006jb      20.92   8.69  24.24  40.12  22.73  20.06  21.67  12.28  24.39  18.47   2.82  22.49  17.94  21.06   9.29  19.56   4.64  21.95  17.32   1.66  21.43  10.99  19.95   5.56  18.36   2.68  20.80  16.71   1.25  20.92   8.69  19.38   4.28  17.78   2.05  20.19  16.30   1.04  20.53   7.28  18.95   3.51  17.39   1.71  19.78  UGC12897                    994.4   983.6
2005ed      20.48   7.09 -99.00   0.01 -99.00   0.01 -99.00   0.01  23.95  18.97   3.55 -99.00   0.01 -99.00   0.01 -99.00   0.01  22.45  17.34   1.67 -99.00   0.01 -99.00   0.01 -99.00   0.01  20.82  17.04   1.46 -99.00   0.01 -99.00   0.01 -99.00   0.01  20.52  16.77   1.29 -99.00   0.01 -99.00   0.01 -99.00   0.01  20.25  A000249+0045                438.8   449.9
2000da      19.72   5.01  22.57  18.57  21.14   9.64  20.04   5.79  23.20  18.17   2.46  21.43  10.99  19.92   5.49  18.36   2.68  21.65  17.42   1.74  20.80   8.25  19.27   4.07  17.84   2.11  20.90  16.95   1.40  20.45   7.02  18.96   3.53  17.49   1.79  20.43  16.68   1.23  20.14   6.07  18.70   3.13  17.23   1.59  20.16  UGC00005                    519.0   561.3
2003lq      21.67  12.28  24.68  49.13 -99.00   0.01 -99.00   0.01  25.15 -99.00   0.01  25.43  69.49  23.17  24.57 -99.00   0.01 -99.00  21.67  12.28  23.93  34.74  22.18  15.54 -99.00   0.01  25.15  21.67  12.28  23.93  34.74  23.17  24.57  22.42  17.37  25.15  20.92   8.69  23.49  28.37  21.81  13.13  21.67  12.28  24.39  UGC00005                    593.9   553.9
2006kv     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A000306+0054                429.7   450.7
2006sr      21.67  12.28  24.68  49.13  22.73  20.06  21.67  12.28  25.15  20.48   7.09  22.93  21.97  21.32  10.48  20.67   7.77  23.95  19.41   4.34  22.23  15.94  20.79   8.19  19.41   4.34  22.89  18.88   3.41  21.98  14.18  20.39   6.81  18.88   3.41  22.36  18.36   2.68  21.57  11.75  20.16   6.14  18.50   2.86  21.84  UGC00014                    568.9   535.9
2007nx     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  20.92   8.69 -99.00   0.01 -99.00   0.01 -99.00   0.01  24.39  20.16   6.14 -99.00   0.01 -99.00   0.01 -99.00   0.01  23.64  19.28   4.09 -99.00   0.01 -99.00   0.01 -99.00   0.01  22.76  A000348+0021                438.7   450.1
2003it     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  UGC00040                    441.3   470.4
2002hw      21.67  12.28  22.73  20.06  22.42  17.37  20.48   7.09  25.15  19.06   3.70  21.32  10.48  19.68   4.91  18.73   3.17  22.54  17.81   2.08  20.48   7.09  18.97   3.55  17.69   1.97  21.29  17.20   1.57  20.01   5.71  18.47   2.82  16.87   1.35  20.68  16.84   1.33  19.79   5.18  18.21   2.49  16.55   1.16  20.32  UGC00052                    611.1   612.7
2005ih     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A000713+0020                449.5   449.5
2005fi     -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00   0.01 -99.00  A000758+0038                429.5   449.8
2007G       17.54   1.83  20.42   6.91  19.08   3.72  17.99   2.26  21.01  16.84   1.33  19.97   5.62  18.62   3.01  17.45   1.76  20.32  16.56   1.17  19.80   5.19  18.42   2.75  17.21   1.58  20.04  16.42   1.09  19.69   4.95  18.31   2.61  17.08   1.48  19.90  16.28   1.03  19.56   4.65  18.17   2.46  16.94   1.39  19.76  UGC00068                    459.3   445.1
