# Jha, Riess, & Kirshner (2007)
# Table 4: MLCS2k2 Light Curve Fits
#
# Note: add 0.08 mag in quadrature to mu0 and m^0_V uncertainties
#       see text for details
#
#SN Ia   t0-2400000 +/-    mu0+5logh65 +/-      Delta   +/-      A^0_V  +/-       R_V   +/-       m^0_V   +/-  Notes
#              HJD                mag                                mag                              mag
1972E     41446.64  0.96     27.829  0.110     -0.145  0.062     0.068  0.059     3.1   0         8.324  0.110   
1980N     44585.60  0.63     31.602  0.099     +0.032  0.060     0.282  0.082     3.1   0        12.098  0.099   
1981B     44670.95  0.73     31.104  0.140     -0.081  0.060     0.364  0.121     3.1   0        11.599  0.140   
1981D     44680.21  0.53     31.009  0.228     +0.257  0.204     0.631  0.270     3.07  0.37     11.505  0.228   
1986G     46561.36  0.24     27.460  0.203     +1.054  0.065     2.227  0.224     2.87  0.27      7.956  0.203   
1989B     47564.32  0.59     30.040  0.144     +0.035  0.087     1.330  0.144     2.86  0.29     10.536  0.144   
1990N     48081.90  0.17     32.153  0.090     -0.242  0.046     0.174  0.084     3.1   0        12.648  0.090   
1990O     48076.12  1.02     35.814  0.095     -0.150  0.066     0.071  0.063     3.1   0        16.310  0.095   HF 
1990T     48083.06  1.16     36.555  0.169     -0.111  0.095     0.200  0.120     3.1   0        17.050  0.169   HF 
1990Y     48115.94  1.28     36.221  0.248     +0.036  0.161     0.497  0.150     3.03  0.36     16.717  0.248   HF 
1990af    48195.86  0.44     36.714  0.160     +0.519  0.113     0.144  0.134     3.1   0        17.209  0.160   HF 
1991M     48334.98  1.41     33.516  0.179     +0.191  0.112     0.269  0.174     3.1   0        14.012  0.179   
1991S     48348.17  1.18     37.274  0.131     -0.147  0.074     0.129  0.101     3.1   0        17.770  0.131   HF 
1991T     48374.03  0.14     30.776  0.080     -0.220  0.031     0.340  0.070     3.1   0        11.271  0.080   
1991U     48356.18  1.38     35.612  0.167     -0.096  0.086     0.379  0.187     3.1   0        16.108  0.167   HF 
1991ag    48414.23  1.45     34.007  0.097     -0.134  0.061     0.060  0.056     3.1   0        14.503  0.097   HF 
1991bg    48603.12  0.31     31.418  0.101     +1.404  0.047     0.611  0.123     3.21  0.41     11.913  0.101   
1992A     48640.63  0.19     31.654  0.067     +0.447  0.054     0.038  0.032     3.1   0        12.150  0.067   
1992G     48669.96  1.06     32.584  0.141     -0.198  0.047     0.499  0.136     3.07  0.37     13.079  0.141   
1992J     48671.64  1.60     36.453  0.265     +0.445  0.236     0.259  0.185     3.1   0        16.949  0.265   HF 
1992K     48674.37  1.76     33.207  0.153     +1.378  0.116     0.223  0.144     3.1   0        13.702  0.153   HF 
1992P     48719.20  0.86     35.585  0.124     -0.142  0.082     0.136  0.092     3.1   0        16.081  0.124   HF 
1992ae    48803.18  1.34     37.731  0.167     +0.051  0.102     0.163  0.141     3.1   0        18.227  0.167   HF 
1992ag    48806.95  0.81     35.247  0.151     +0.027  0.077     0.424  0.134     3.1   0        15.743  0.151   HF 
1992al    48837.86  0.49     34.125  0.065     -0.144  0.035     0.045  0.038     3.1   0        14.621  0.065   HF 
1992aq    48833.33  1.18     38.651  0.117     +0.193  0.116     0.065  0.053     3.1   0        19.147  0.117   HF 
1992au    48830.62  1.55     37.379  0.216     +0.292  0.196     0.115  0.097     3.1   0        17.875  0.216   HF 
1992bc    48912.06  0.17     34.859  0.042     -0.236  0.030     0.017  0.014     3.1   0        15.354  0.042   HF 
1992bg    48915.39  1.23     36.126  0.130     +0.008  0.076     0.130  0.091     3.1   0        16.622  0.130   HF 
1992bh    48920.43  0.97     36.899  0.133     -0.051  0.085     0.204  0.114     3.1   0        17.395  0.133   HF 
1992bk    48938.95  1.59     37.184  0.170     +0.414  0.157     0.097  0.082     3.1   0        17.679  0.170   HF 
1992bl    48946.33  1.14     36.497  0.123     +0.353  0.117     0.061  0.060     3.1   0        16.993  0.123   HF 
1992bo    48986.26  0.16     34.742  0.091     +0.595  0.072     0.051  0.049     3.1   0        15.237  0.091   HF 
1992bp    48980.41  0.74     37.793  0.106     +0.095  0.092     0.060  0.056     3.1   0        18.289  0.106   HF 
1992br    48984.63  1.34     37.977  0.185     +0.888  0.173     0.125  0.115     3.1   0        18.472  0.185   HF 
1992bs    48985.05  1.30     37.636  0.161     -0.031  0.089     0.172  0.137     3.1   0        18.132  0.161   HF 
1993B     49003.99  1.35     37.779  0.148     -0.115  0.076     0.198  0.119     3.1   0        18.274  0.148   HF 
1993H     49068.92  0.46     35.109  0.095     +0.904  0.076     0.139  0.086     3.1   0        15.605  0.095   HF 
1993L     49095.40  1.51     31.986  0.305     +0.041  0.198     0.722  0.172     3.04  0.36     12.482  0.305   
1993O     49134.40  0.43     37.140  0.095     +0.025  0.070     0.077  0.059     3.1   0        17.636  0.095   HF 
1993ac    49269.70  1.19     36.881  0.189     -0.054  0.108     0.377  0.191     3.1   0        17.377  0.189   HF 
1993ae    49288.58  1.19     34.468  0.187     +0.401  0.157     0.055  0.055     3.1   0        14.963  0.187   HF 
1993ag    49316.67  0.68     37.041  0.131     +0.119  0.089     0.166  0.097     3.1   0        17.537  0.131   HF 
1993ah    49302.52  1.33     35.640  0.200     +0.147  0.164     0.136  0.121     3.1   0        16.135  0.200   HF 
1994D     49432.47  0.10     31.187  0.067     +0.142  0.035     0.109  0.047     3.1   0        11.682  0.067   
1994M     49473.61  0.90     35.244  0.121     +0.261  0.079     0.226  0.115     3.1   0        15.739  0.121   HF 
1994Q     49496.72  1.09     35.759  0.141     -0.140  0.075     0.192  0.121     3.1   0        16.255  0.141   HF 
1994S     49518.28  0.50     34.356  0.077     -0.084  0.074     0.054  0.045     3.1   0        14.852  0.077   HF 
1994T     49514.54  0.52     36.012  0.112     +0.731  0.103     0.093  0.075     3.1   0        16.507  0.112   HF 
1994ae    49684.65  0.15     32.563  0.065     -0.191  0.036     0.070  0.047     3.1   0        13.058  0.065   
1995D     49768.60  0.44     32.813  0.074     -0.186  0.041     0.081  0.060     3.1   0        13.308  0.074   
1995E     49774.67  0.54     33.198  0.178     +0.006  0.057     2.241  0.176     2.85  0.28     13.694  0.178   
1995ac    49992.99  0.40     36.511  0.108     -0.231  0.047     0.252  0.107     3.1   0        17.007  0.108   HF 
1995ak    50021.16  0.93     34.741  0.138     +0.122  0.065     0.613  0.131     3.12  0.39     15.237  0.138   HF 
1995al    50028.96  0.44     32.714  0.081     -0.282  0.035     0.177  0.065     3.1   0        13.209  0.081   
1995bd    50086.31  0.24     34.006  0.125     -0.239  0.051     0.523  0.241     3.01  0.35     14.502  0.125   HF 
1996C     50128.42  0.90     35.947  0.104     -0.104  0.055     0.136  0.091     3.1   0        16.443  0.104   HF 
1996X     50190.85  0.33     32.432  0.065     +0.095  0.048     0.061  0.044     3.1   0        12.927  0.065   
1996Z     50215.24  1.46     32.760  0.238     +0.112  0.210     0.609  0.316     3.05  0.36     13.256  0.238   HF 
1996ab    50224.69  1.07     38.934  0.146     +0.164  0.127     0.098  0.091     3.1   0        19.430  0.146   HF 
1996ai    50255.21  0.81     31.151  0.187     -0.098  0.068     3.662  0.185     2.09  0.12     11.647  0.187   
1996bk    50368.46  1.02     32.195  0.142     +1.011  0.124     0.711  0.184     3.10  0.38     12.691  0.142   
1996bl    50376.32  0.58     36.096  0.113     -0.116  0.064     0.208  0.115     3.1   0        16.592  0.113   HF 
1996bo    50386.93  0.30     34.043  0.138     +0.057  0.070     0.938  0.138     3.02  0.35     14.538  0.138   HF 
1996bv    50403.72  1.27     34.213  0.157     -0.206  0.065     0.547  0.159     3.07  0.37     14.709  0.157   HF 
1997E     50467.58  0.41     34.105  0.091     +0.341  0.084     0.213  0.104     3.1   0        14.600  0.091   HF 
1997Y     50486.88  1.37     34.563  0.104     +0.060  0.078     0.196  0.087     3.1   0        15.058  0.104   HF 
1997bp    50548.94  0.52     32.895  0.092     -0.180  0.049     0.537  0.086     2.88  0.31     13.391  0.092   HF 
1997bq    50557.99  0.18     33.458  0.109     -0.095  0.063     0.513  0.095     3.03  0.35     13.953  0.109   HF 
1997br    50559.26  0.23     32.248  0.104     -0.303  0.031     0.804  0.112     3.03  0.35     12.743  0.104   
1997cn    50586.64  0.77     34.532  0.070     +1.381  0.046     0.071  0.059     3.1   0        15.027  0.070   HF 
1997cw    50630.75  0.98     34.075  0.151     -0.179  0.064     1.092  0.145     2.97  0.33     14.570  0.151   HF 
1997dg    50720.05  0.84     36.149  0.114     -0.006  0.076     0.201  0.102     3.1   0        16.645  0.114   HF 
1997do    50766.21  0.45     33.601  0.118     -0.146  0.080     0.312  0.102     3.1   0        14.097  0.118   HF 
1997dt    50785.60  0.31     32.723  0.191     -0.126  0.070     1.849  0.198     3.03  0.34     13.219  0.191   
1998D     50841.07  2.02     34.089  0.627     +0.571  0.482     0.346  0.186     3.1   0        14.585  0.627   poor fit 
1998V     50891.27  0.84     34.395  0.102     -0.055  0.064     0.209  0.115     3.1   0        14.891  0.102   HF 
1998ab    50914.43  0.25     35.213  0.100     -0.118  0.051     0.394  0.082     3.1   0        15.709  0.100   HF 
1998aq    50930.80  0.13     31.974  0.046     -0.063  0.036     0.024  0.019     3.1   0        12.470  0.046   
1998bp    50936.39  0.33     33.304  0.075     +1.114  0.057     0.188  0.100     3.1   0        13.800  0.075   HF 
1998bu    50952.40  0.23     30.283  0.117     -0.015  0.038     1.055  0.114     3.13  0.36     10.778  0.117   
1998co    50987.76  1.32     34.431  0.126     +0.464  0.196     0.301  0.183     3.1   0        14.926  0.126   HF 
1998de    51026.69  0.17     34.400  0.082     +1.448  0.036     0.398  0.101     3.1   0        14.896  0.082   HF 
1998dh    51029.83  0.22     32.846  0.087     -0.051  0.042     0.471  0.061     2.76  0.27     13.342  0.087   
1998dk    51056.58  1.48     33.802  0.219     -0.127  0.134     0.508  0.152     3.10  0.38     14.297  0.219   HF 
1998dm    51062.03  1.16     33.067  0.178     -0.192  0.073     1.045  0.160     3.08  0.37     13.563  0.178   
1998dx    51071.32  0.80     36.917  0.099     +0.190  0.099     0.086  0.065     3.1   0        17.413  0.099   HF 
1998ec    51088.41  1.07     35.082  0.161     -0.169  0.077     0.569  0.125     3.01  0.35     15.578  0.161   HF 
1998ef    51113.99  0.22     34.142  0.105     +0.269  0.083     0.046  0.044     3.1   0        14.638  0.105   HF 
1998eg    51110.69  1.23     35.353  0.120     +0.014  0.118     0.224  0.118     3.1   0        15.849  0.120   HF 
1998es    51141.89  0.15     33.263  0.078     -0.287  0.030     0.227  0.073     3.1   0        13.758  0.078   HF 
1999X     51203.48  1.04     35.546  0.132     -0.181  0.075     0.139  0.095     3.1   0        16.041  0.132   HF 
1999aa    51231.97  0.15     34.468  0.042     -0.271  0.028     0.020  0.018     3.1   0        14.963  0.042   HF 
1999ac    51250.60  0.17     33.334  0.081     -0.086  0.039     0.308  0.072     3.1   0        13.830  0.081   HF 
1999aw    51253.96  0.29     36.551  0.043     -0.369  0.032     0.019  0.018     3.1   0        17.047  0.043   HF 
1999by    51309.50  0.14     31.158  0.073     +1.348  0.030     0.170  0.083     3.1   0        11.653  0.073   
1999cc    51315.62  0.46     35.859  0.092     +0.337  0.097     0.148  0.088     3.1   0        16.355  0.092   HF 
1999cl    51342.28  0.26     30.604  0.163     +0.031  0.087     2.666  0.160     2.22  0.15     11.099  0.163   
1999cp    51363.22  0.26     33.520  0.098     -0.103  0.102     0.072  0.062     3.1   0        14.015  0.098   HF 
1999cw    51352.49  1.47     33.363  0.141     -0.306  0.067     0.161  0.073     3.1   0        13.859  0.141   poor fit 
1999da    51370.57  0.17     33.905  0.101     +1.451  0.038     0.233  0.115     3.1   0        14.400  0.101   HF 
1999dk    51413.92  0.78     34.273  0.098     -0.233  0.047     0.201  0.094     3.1   0        14.769  0.098   HF 
1999dq    51435.70  0.15     33.668  0.067     -0.338  0.024     0.369  0.077     3.1   0        14.163  0.067   HF 
1999ee    51469.29  0.14     33.472  0.088     -0.208  0.030     0.797  0.085     2.76  0.27     13.968  0.088   HF 
1999ef    51457.78  1.27     36.657  0.111     -0.057  0.077     0.051  0.044     3.1   0        17.153  0.111   HF 
1999ej    51482.37  0.85     34.459  0.123     +0.302  0.088     0.166  0.099     3.1   0        14.954  0.123   
1999ek    51481.65  0.50     34.360  0.111     +0.050  0.067     0.475  0.251     3.1   0        14.856  0.111   HF 
1999gd    51518.40  1.14     34.606  0.167     +0.024  0.073     1.381  0.156     2.99  0.33     15.101  0.167   HF 
1999gh    51513.53  0.91     32.761  0.078     +0.902  0.081     0.084  0.074     3.1   0        13.257  0.078   HF 
1999gp    51550.30  0.17     35.622  0.061     -0.323  0.030     0.076  0.051     3.1   0        16.118  0.061   HF 
2000B     51562.85  1.30     34.628  0.216     +0.253  0.190     0.286  0.136     3.1   0        15.123  0.216   HF 
2000E     51576.80  0.35     31.721  0.107     -0.277  0.039     0.609  0.189     3.01  0.35     12.216  0.107   
2000bh    51636.31  1.47     35.309  0.131     -0.026  0.067     0.138  0.093     3.1   0        15.805  0.131   HF 
2000bk    51646.02  1.08     35.390  0.156     +0.613  0.129     0.290  0.148     3.1   0        15.885  0.156   HF 
