#SN    zhel   zcmb   ebvmw mjdmax    bmag     err    s      err     clr     err     cos     use
1980N  0.0059 0.0055 0.021 44585.89  12.422   0.011  0.833  0.015   0.029   0.008    0       1
1981B  0.0060 0.0060 0.018 44672.12  11.954   0.011  0.882  0.018   0.055   0.010    1       1
1981D  0.0059 0.0055 0.021 44679.43  12.541   0.052  0.860  0.040   0.193   0.049    1       1
1986G  0.0018 0.0027 0.115 46560.56  12.039   0.049  0.698  0.012   0.904   0.019    1       1
1989B  0.0024 0.0036 0.032 47564.44  12.241   0.035  0.903  0.027   0.374   0.029    1       1
1990af 0.0503 0.0499 0.035 48195.45  17.767   0.018  0.724  0.016  -0.014   0.016    1       1
1990N  0.0034 0.0045 0.026 48081.75  12.700   0.016  1.092  0.010   0.051   0.012    1       1
1990O  0.0307 0.0306 0.093 48075.41  16.232   0.048  1.046  0.050  -0.021   0.028    1       1
1990T  0.0400 0.0397 0.053 48083.61 -99.999  -9.999  0.952  0.045 -99.999  -9.999    1       1
1990Y  0.0390 0.0387 0.008 48113.86 -99.999  -9.999  0.997  0.151 -99.999  -9.999    0       0
1991ag 0.0142 0.0139 0.062 48412.32  14.431   0.077  1.099  0.028   0.003   0.019    1       1
1991bg 0.0035 0.0046 0.041 48605.29 -99.999  -9.999  0.500  0.200 -99.999  -9.999    0       1
1991M  0.0072 0.0076 0.038 48336.81 -99.999  -9.999  0.742  0.070 -99.999  -9.999    0       0
1991S  0.0550 0.0561 0.026 48345.43 -99.999  -9.999  1.002  0.052 -99.999  -9.999    0       1
1991T  0.0060 0.0060 0.022 48374.30  11.441   0.028  1.070  0.017   0.083   0.023    0       1
1991U  0.0314 0.0324 0.062 48353.85  16.334   0.078  1.014  0.052   0.012   0.043    1       1
1992A  0.0063 0.0059 0.017 48639.74  12.536   0.010  0.808  0.007   0.005   0.007    1       1
1992ae 0.0750 0.0746 0.036 48802.48  18.383   0.059  0.929  0.045  -0.069   0.038    1       1
1992ag 0.0250 0.0260 0.097 48805.25  16.268   0.047  0.981  0.046   0.106   0.029    1       1
1992al 0.0146 0.0135 0.034 48837.54  14.458   0.022  0.948  0.023  -0.101   0.017    1       1
1992aq 0.1018 0.1009 0.012 48833.51  19.318   0.048  0.836  0.076 -99.999  -9.999    1       1
1992au 0.0610 0.0604 0.017 48829.43 -99.999  -9.999  0.601  0.182 -99.999  -9.999    1       1
1992bc 0.0202 0.0198 0.022 48911.75  15.100   0.014  1.072  0.013  -0.095   0.011    1       1
1992bg 0.0352 0.0355 0.185 48914.64  16.692   0.097  0.938  0.055  -0.064   0.034    1       1
1992bh 0.0450 0.0453 0.022 48919.37  17.618   0.025  0.984  0.038   0.048   0.023    1       1
1992bk 0.0590 0.0589 0.015 48935.23 -99.999  -9.999  0.714  0.053 -99.999  -9.999    0       1
1992bl 0.0437 0.0429 0.011 48946.63  17.305   0.051  0.781  0.034  -0.053   0.028    1       1
1992bo 0.0185 0.0177 0.027 48985.29  15.731   0.021  0.749  0.011  -0.056   0.016    1       1
1992bp 0.0793 0.0789 0.069 48980.11  18.302   0.031  0.847  0.024  -0.087   0.024    1       1
1992br 0.0882 0.0878 0.026 48985.10  19.509   0.053  0.558  0.036   0.107   0.048    1       1
1992bs 0.0637 0.0634 0.012 48984.82  18.283   0.038  0.949  0.046  -0.035   0.026    1       1
1992J  0.0450 0.0461 0.057 48679.91  18.619   0.405  0.702  0.082   0.607   0.143    0       1
1992P  0.0254 0.0265 0.021 48716.90  16.046   0.031  1.164  0.122  -0.082   0.026    1       1
1993ac 0.0490 0.0490 0.163 49263.25 -99.999  -9.999  0.531  0.068 -99.999  -9.999    0       0
1993ae 0.0191 0.0181 0.039 49297.35  16.235   0.054  0.768  0.033   0.324   0.026    0       1
1993ag 0.0490 0.0500 0.112 49316.38  17.831   0.050  0.853  0.051   0.069   0.032    1       1
1993ah 0.0295 0.0285 0.020 49299.84 -99.999  -9.999  0.817  0.092 -99.999  -9.999    0       1
1993B  0.0690 0.0701 0.079 49004.61  18.456   0.057  0.915  0.047   0.039   0.031    1       1
1993H  0.0242 0.0251 0.060 49069.02  16.793   0.030  0.660  0.019   0.221   0.017    1       1
