# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2003hh      UGC12890                     0.053     0.37     0.04    0.049    -0.02     0.06    0.017    -4.44     0.14    0.001    -7.69     3.07
2000da      UGC00005                     0.394     0.24     0.06    0.389     0.23     0.10    0.343     0.09     0.04    0.292     0.14     0.19
2003lq      UGC00005                     0.899     1.02     0.25    0.899     0.50     0.29    0.884     0.67     0.13    0.792     0.07     0.43
2006sr      UGC00014                     0.521    -0.24     0.09    0.547    -1.76     0.07    0.598    -3.26     0.02    0.457    -3.83     0.07
2003it      UGC00040                     0.650    -0.21     0.09    0.658    -1.27     0.09    0.529    -4.23     0.05    0.256    -5.17     0.34
1988ai      ESO293-034                   0.001     1.70     0.08    0.001     1.07     0.08    0.001    -0.27     0.02    0.001     0.29     0.05
2009mk      ESO293-034                   0.888    -2.03     0.06    0.893    -2.63     0.07    0.831    -3.89     0.03    0.796    -2.87     0.05
2011jo      NGC0010                      0.288     0.20     0.07    0.262     0.18     0.11    0.123    -0.08     0.07    0.112     0.39     0.40
2008dy      ESO241-023                   0.625     0.04     0.12    0.589    -1.19     0.11    0.495    -3.93     0.03    0.390    -4.31     0.14
2010ik      UGC00112                     0.320    -0.97     0.16    0.459    -2.52     0.13    0.371    -5.69     0.13    0.356    -6.16     0.58
2012dk      ESO050-006                   0.561     0.08     0.26    0.530    -0.15     0.36    0.703     0.11     0.23    0.724     3.20     3.72
1998dk      UGC00139                     0.133     0.17     0.06    0.119    -0.44     0.07    0.098    -2.93     0.03    0.055    -3.75     0.18
2008db      NGC0050                      1.000    -2.05     0.26    1.000    -1.63     0.35    1.000    -3.23     1.58    1.000    -3.47     5.94
2010dq      NGC0057                      0.413     0.57     0.06    0.410    -0.63     0.05    0.554    -4.90     0.07    1.000    -6.45     0.65
2011fp      NGC0057                      0.929    -1.71     0.13    0.934    -4.23     0.09    1.000   -10.27     3.74    1.000   -10.97    18.51
2003ld      UGC00148                     0.121     0.37     0.05    0.121     0.39     0.07    0.108     0.38     0.03    0.073     0.33     0.12
2005mg      UGC00155                     0.537     0.42     0.04    0.531     0.47     0.07    0.435     0.32     0.03    0.331     0.75     0.15
1983Q       ESO294-002                   0.644     1.09     0.16    0.634     1.05     0.24    0.544     0.97     0.09    0.387     0.53     0.38
2006J       IC0013                       0.171     0.14     0.07    0.168     0.09     0.10    0.132     0.02     0.05    0.092     0.00     0.27
1954F       PGC001347                    0.440     0.40     0.09    0.414     0.40     0.15    0.289     0.05     0.09    0.159     0.21     0.63
1997cw      NGC0105                      0.495     0.09     0.06    0.476     0.12     0.10    0.424     0.04     0.04    0.316     0.09     0.20
2007A       NGC0105                      0.345     0.41     0.06    0.330     0.42     0.10    0.276     0.29     0.04    0.204     0.40     0.21
2005hk      UGC00272                     0.882    -0.27     0.33    0.929    -0.54     0.54    1.000   -99.00    -9.00    0.653    -0.81     2.34
2004dd      NGC0124                      0.600     0.11     0.10    0.579     0.04     0.14    0.515     0.04     0.05    0.419    -0.05     0.22
2014da      NGC0128                      0.082     0.57     0.02    0.079     0.34     0.03    0.046    -3.36     0.04    0.022    -4.89     0.41
2008ds      UGC00299                     1.000    -2.60     1.04    1.000    -0.96     0.71    1.000    -2.76     1.60    1.000    -1.63     1.69
2004fe      NGC0132                      0.525    -0.05     0.06    0.510    -0.74     0.06    0.454    -2.52     0.01    0.408    -2.97     0.04
1997dm      ESO294-017                   0.300     0.25     0.06    0.288    -0.29     0.08    0.186    -3.07     0.04    0.109    -4.00     0.26
2009gj      NGC0134                      0.916    -0.73     0.11    0.928    -1.88     0.10    0.884    -4.05     0.02    0.897    -4.44     0.08
2014cz      ESO294-021                   0.116     0.66     0.04    0.109     0.31     0.06    0.073    -1.38     0.02    0.053    -1.96     0.07
2003ip      UGC00327                     0.894    -0.32     0.36    0.880     0.59     0.70    0.890    -0.41     0.29    0.852    -2.41     2.54
1990K       NGC0150                      0.859    -1.56     0.06    0.851    -2.16     0.08    0.887    -4.16     0.02    0.888    -3.93     0.06
2009em      NGC0157                      0.479     0.02     0.06    0.473    -0.51     0.06    0.430    -2.11     0.01    0.442    -2.44     0.04
2006ld      UGC00348                     0.007     2.95     0.27    0.006     3.12     0.51    0.006     1.71     0.26    0.003     0.74     1.07
2001dj      NGC0180                      0.973    -2.99     0.15    0.980    -5.64     0.37    1.000    -8.18     0.92    1.000    -8.16     1.68
2004ex      NGC0182                      0.872    -1.20     0.12    0.904    -3.12     0.09    0.838    -6.14     0.09    0.885    -7.50     0.67
1954R       NGC0210                      0.918    -1.29     0.15    0.947    -3.31     0.11    0.884    -6.30     0.08    0.894    -6.97     0.36
2005db      NGC0214                      0.488     0.27     0.06    0.496    -0.22     0.07    0.390    -2.04     0.01    0.352    -2.56     0.05
2006ep      NGC0214                      0.921    -0.77     0.13    0.932    -2.36     0.10    0.907    -4.88     0.03    0.897    -5.26     0.12
2008eo      UGC00442                     0.077     0.61     0.14    0.070     0.48     0.22    0.070     0.46     0.20    0.038     0.47     1.16
2011fq      UGC00442                     0.101     0.52     0.15    0.092     0.54     0.24    0.094     0.70     0.21    0.053    -0.25     0.97
1982S       ESO150-020                   0.175     0.69     0.08    0.168    -0.01     0.09    0.101    -2.82     0.03    0.072    -3.46     0.14
2007L       UGC00466                     0.921     0.73     0.48    0.896    -0.35     0.46    0.972   -99.00    -9.00    0.645   -99.00    -9.00
2001dz      UGC00471                     0.571    -0.26     0.12    0.499    -1.46     0.11    0.441    -3.95     0.03    0.375    -4.71     0.15
1953J?      UGC00472                     0.515     0.75     0.29    0.531     1.19     0.56    0.482     1.10     0.39    0.649     2.82     3.91
