# SITEPH_WISE SITE PHOTOMETRY - Sat Jan  3 16:28:19 2015
# SN          mw1 mw1err  mw1.5 mw1err   mw11 mw1err   mw12 mw1err   sbw1    mw2 mw2err  mw2.5 mw2err   mw21 mw2err   mw22 mw2err   sbw2    mw3 mw3err  mw3.5 mw3err   mw31 mw3err   mw32 mw3err   sbw3    mw4 mw4err  mw4.5 mw4err   mw41 mw4err   mw42 mw4err   sbw4  host                          snx     sny
2003hh      15.99   0.04  20.42   0.30  18.92   0.15  17.44   0.08  19.47  16.33   0.05  20.82   0.43  19.31   0.21  17.80   0.11  19.81  13.19   0.01  17.70   0.09  16.20   0.04  14.69   0.02  16.67  12.46   0.04  16.98   0.32  15.47   0.16  13.96   0.08  15.94  UGC12890                    582.6   581.0
2000da      17.03   0.06  20.50   0.31  19.00   0.16  17.51   0.08  20.51  17.54   0.09  20.92   0.45  19.47   0.23  18.01   0.12  21.02  15.87   0.04  19.34   0.19  17.85   0.09  16.35   0.05  19.35  15.80   0.19  19.30   0.94  17.79   0.47  16.28   0.23  19.28  UGC00005                    259.0   280.1
2003lq      19.99   0.25  23.70   1.37  22.18   0.68  20.55   0.32  23.47  19.98   0.29  23.28   1.33  21.79   0.67  20.39   0.35  23.46  18.55   0.13  22.98   0.99  21.39   0.48  19.18   0.17  22.03  17.51   0.41  20.99   2.04  19.48   1.02  18.01   0.52  20.99  UGC00005                    296.5   276.4
2006sr      17.80   0.09  21.31   0.45  19.80   0.23  18.29   0.11  21.28  16.75   0.07  20.23   0.33  18.73   0.16  17.23   0.08  20.23  13.47   0.01  16.96   0.06  15.45   0.03  13.95   0.02  16.95  12.80   0.05  16.29   0.23  14.78   0.12  13.28   0.06  16.27  UGC00014                    388.1   372.8
2003it      17.82   0.09  21.43   0.48  19.92   0.24  18.41   0.12  21.30  17.37   0.09  20.95   0.46  19.44   0.23  17.94   0.11  20.85  13.66   0.01  17.24   0.07  15.74   0.04  14.23   0.02  17.14  12.94   0.05  16.52   0.26  15.01   0.13  13.51   0.07  16.42  UGC00040                    220.2   234.7
1988ai      17.40   0.08  17.28   0.07  15.80   0.04  14.39   0.02  20.88  17.01   0.07  16.89   0.07  15.42   0.04  13.98   0.02  20.49  13.32   0.01  13.19   0.01  11.69   0.01  10.20   0.01  16.79  12.63   0.04  12.51   0.04  11.00   0.02   9.51   0.01  16.11  ESO293-034                  282.3   345.9
2009mk      16.97   0.06  16.85   0.06  15.46   0.03  14.21   0.02  20.45  16.79   0.07  16.67   0.06  15.25   0.03  13.89   0.02  20.27  13.30   0.01  13.18   0.01  11.68   0.01  10.19   0.01  16.78  12.61   0.04  12.49   0.04  10.99   0.02   9.49   0.01  16.09  ESO293-034                  286.5   346.0
2011jo      17.29   0.07  20.68   0.34  19.17   0.17  17.66   0.08  20.76  17.85   0.11  21.18   0.51  19.68   0.25  18.21   0.13  21.33  16.96   0.06  20.36   0.30  18.85   0.15  17.33   0.07  20.44  17.36   0.38  20.95   2.01  19.41   0.98  17.77   0.46  20.84  NGC0010                     280.7   294.3
2008dy      18.38   0.12  22.59   0.82  21.07   0.41  19.55   0.20  21.85  17.75   0.10  21.96   0.72  20.44   0.36  18.92   0.18  21.23  13.92   0.02  18.08   0.10  16.58   0.05  15.07   0.03  17.40  13.27   0.06  17.43   0.40  15.93   0.20  14.42   0.10  16.75  ESO241-023                  340.1   367.5
2010ik      18.95   0.15  21.64   0.53  20.13   0.26  18.63   0.13  22.43  17.95   0.11  20.63   0.39  19.13   0.20  17.63   0.10  21.43  13.94   0.02  16.63   0.05  15.13   0.03  13.62   0.01  17.42  13.27   0.06  15.95   0.20  14.45   0.10  12.95   0.05  16.75  UGC00112                    213.2   210.9
