# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
1920A       16.17   0.12  17.38   0.21  15.87   0.10  14.37   0.05  19.65 -9.000 -99.00  -9.00  15.43   0.10  16.63   0.17  15.14   0.08  13.66   0.04  18.91 -9.000 -99.00  -9.00  15.10   0.11  16.28   0.19  14.81   0.10  13.37   0.05  18.58 -9.000 -99.00  -9.00  NGC2608            151.4    136.6
1936A       16.53   0.16  17.96   0.30  16.47   0.15  14.99   0.08  20.01 -9.000 -99.00  -9.00  15.78   0.13  17.20   0.25  15.72   0.13  14.30   0.07  19.26 -9.000 -99.00  -9.00  15.77   0.16  17.24   0.32  15.71   0.16  14.15   0.08  19.25 -9.000 -99.00  -9.00  NGC4273             87.3    117.0
1941C       18.71   0.39  17.79   0.26 -99.00  -9.00 -99.00  -9.00  22.19 -9.000 -99.00  -9.00  17.33   0.23  16.46   0.16  19.84   0.74 -99.00  -9.00  20.80 -9.000 -99.00  -9.00  19.46   0.83  18.28   0.48 -99.00  -9.00 -99.00  -9.00  22.94 -9.000 -99.00  -9.00  NGC4136             82.6     60.3
1947A      -99.00  -9.00 -99.00  -9.00  22.47   2.14 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  18.44   0.39  18.80   0.46  17.52   0.25 -99.00  -9.00  21.92 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC3177             38.5     16.5
1960F       17.24   0.21  16.88   0.18  15.43   0.09  14.08   0.05  20.72 -9.000 -99.00  -9.00  16.88   0.21  16.54   0.18  15.25   0.10  13.76   0.05  20.35 -9.000 -99.00  -9.00  16.54   0.23  16.18   0.20  14.77   0.10  13.35   0.05  20.02 -9.000 -99.00  -9.00  NGC4496A            68.3    136.8
1960M       17.05   0.18  19.28   0.50  17.77   0.25  16.27   0.13  20.53 -9.000 -99.00  -9.00  16.24   0.14  18.47   0.39  16.97   0.20  15.48   0.10  19.72 -9.000 -99.00  -9.00  16.31   0.19  18.54   0.54  17.03   0.27  15.53   0.13  19.79 -9.000 -99.00  -9.00  NGC2565            103.5    126.7
1961P       19.84   0.69  22.26   2.12  20.55   0.97  18.68   0.41  23.31 -9.000 -99.00  -9.00  17.59   0.27  19.68   0.70  18.18   0.35  16.66   0.17  21.07 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  UGC2069             89.9     53.6
1961V      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC1058             51.1    142.2
1962H       15.91   0.12  16.81   0.17  15.30   0.09  13.80   0.04  19.39 -9.000 -99.00  -9.00  15.11   0.09  16.00   0.14  14.51   0.07  13.02   0.04  18.59 -9.000 -99.00  -9.00  15.16   0.12  16.05   0.18  14.55   0.09  13.00   0.05  18.64 -9.000 -99.00  -9.00  IC4237             123.3    102.3
1963J       16.66   0.15  16.26   0.12  14.70   0.06  13.03   0.03  20.14 -9.000 -99.00  -9.00  16.04   0.13  15.63   0.10  14.01   0.05  12.39   0.02  19.52 -9.000 -99.00  -9.00  16.09   0.17  15.67   0.14  14.01   0.07  12.28   0.03  19.57 -9.000 -99.00  -9.00  NGC3913             65.4     47.6
1964E      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M+09-20-51         155.8     34.4
1964H       17.27   0.20  15.74   0.10  14.22   0.05  12.58   0.02  20.75 -9.000 -99.00  -9.00  16.65   0.17  15.15   0.09  13.88   0.05  12.30   0.02  20.13 -9.000 -99.00  -9.00  16.77   0.24  15.27   0.12  13.68   0.06  11.81   0.02  20.25 -9.000 -99.00  -9.00  NGC7292            118.0     95.9
1965N       16.50   0.13  19.50   0.54  17.99   0.27  16.47   0.13  19.98 -9.000 -99.00  -9.00  15.84   0.12  18.81   0.46  17.31   0.23  15.81   0.11  19.32 -9.000 -99.00  -9.00  15.46   0.13  18.41   0.51  16.91   0.25  15.42   0.13  18.94 -9.000 -99.00  -9.00  NGC3074             99.3    115.3
1966B       18.26   0.34  18.21   0.33  16.64   0.16 -99.00  -9.00  21.74 -9.000 -99.00  -9.00  17.01   0.23  16.96   0.22  15.86   0.13 -99.00  -9.00  20.49 -9.000 -99.00  -9.00  16.60   0.24  16.56   0.24  15.12   0.12 -99.00  -9.00  20.08 -9.000 -99.00  -9.00  NGC4688            102.4     41.3
1966E       17.94   0.27  19.27   0.49  17.71   0.24  16.12   0.12  21.42 -9.000 -99.00  -9.00  17.55   0.26  18.84   0.46  17.33   0.23  15.76   0.11  21.03 -9.000 -99.00  -9.00  16.79   0.24  18.01   0.42  16.59   0.22  15.25   0.12  20.26 -9.000 -99.00  -9.00  NGC4189            155.3    101.1
1967H       16.30   0.13  17.80   0.26  16.32   0.13  14.90   0.07  19.78 -9.000 -99.00  -9.00  15.85   0.12  17.33   0.24  15.86   0.12  14.46   0.06  19.32 -9.000 -99.00  -9.00  15.31   0.12  16.79   0.25  15.32   0.12  13.93   0.07  18.79 -9.000 -99.00  -9.00  NGC4254             70.2    132.0
1968I       14.60   0.06  15.02   0.08  13.46   0.04  11.77   0.02  18.08 -9.000 -99.00  -9.00  13.91   0.06  14.33   0.07  12.78   0.03  11.07   0.02  17.39 -9.000 -99.00  -9.00  13.72   0.06  14.15   0.08  12.56   0.04  10.81   0.02  17.20 -9.000 -99.00  -9.00  NGC4981            135.8    144.2
1968V       18.06   0.29  19.24   0.51  17.79   0.26  16.39   0.14  21.54 -9.000 -99.00  -9.00  17.07   0.24  18.26   0.41  16.80   0.21  15.40   0.11  20.55 -9.000 -99.00  -9.00  18.37   0.50  19.98   1.05  17.94   0.41  15.50   0.13  21.85 -9.000 -99.00  -9.00  NGC2276            152.4    153.5
1969C       15.70   0.10  17.60   0.23  16.08   0.12  14.54   0.06  19.18 -9.000 -99.00  -9.00  15.11   0.08  17.02   0.20  15.50   0.10  13.95   0.05  18.59 -9.000 -99.00  -9.00  14.76   0.09  16.68   0.23  15.15   0.11  13.58   0.05  18.24 -9.000 -99.00  -9.00  NGC3811             56.0     74.3
1969L      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC1058            -99.0     74.3
