# Line      Center   llimit  ulimit  type  
#########################################
OII_3727    3728.30  3719.0  3739.0  em     
NeIII_3869  3869.0   3859.0  3879.0  em    
Ca_H        3934.78  3919.0  3949.0  abs   
Ca_K        3969.59  3955.0  3985.0  abs   
H_delta_em  4102.89  4088.0  4118.0  both  
H_delta_abs 4102.89  4088.0  4118.0  both  
G_band      4305.61  4281.0  4331.0  abs
H_gamma_em  4341.68  4327.0  4354.0  both  
H_gamma_abs 4341.68  4327.0  4354.0  both  
OIII_4363   4364.44  4354.0  4374.0  em    
H_beta_em   4862.68  4848.0  4878.0  both  
H_beta_abs  4862.68  4848.0  4878.0  both  
OIII_4959   4960.30  4950.0  4970.0  em    
OIII_5007   5008.24  4998.0  5018.0  em
Mg_b        5176.70  5152.0  5202.0  abs    
HeI_5876    5877.29  5867.0  5885.0  em
Na_D        5895.60  5886.0  5911.0  abs  
OI_6300     6302.05  6292.0  6310.0  em    
NII_6548    6549.86  6535.0  6555.0  em    
H_alpha_em  6564.61  6555.0  6575.0  both  
H_alpha_abs 6564.61  6555.0  6575.0  both  
NII_6584    6585.27  6575.0  6595.0  em      
HeI_6679    6679.0   6669.0  6689.0  em
SII_6717    6718.29  6708.0  6725.0  em   
SII_6731    6732.67  6725.0  6745.0  em    
